,Name,FairRamp,TotalRampsCount,RatioFairRamp,RampDensity_poor_ramps_against_disability,RampDensity_excellent_ramps_against_disability
13,Mattapan,522,1383,0.3774403470715835,0.0051739518287243534,0.11864406779661017
15,North End,161,466,0.34549356223175964,0.008221225710014948,0.187593423019432
1,Back Bay,206,620,0.33225806451612905,0.006871035940803382,0.1569767441860465
21,West End,108,338,0.31952662721893493,0.01059322033898305,0.3940677966101695
6,East Boston,396,1320,0.3,0.0017374517374517374,0.12413127413127413
