,Name,PoorRamp,TotalRampsCount,RatioPoorRamp,RampDensity_poor_ramps_against_disability,RampDensity_excellent_ramps_against_disability
9,Hyde Park,79,1626,0.04858548585485855,0.03731695795937648,0.4232404345772319
16,Roslindale,56,1431,0.039133473095737246,0.0076859730990941535,0.10966236618171836
17,Roxbury,106,2709,0.039128829826504244,0.008405360399651098,0.13646816271509
10,Jamaica Plain,40,1203,0.03325020781379884,0.0087527352297593,0.16345733041575491
5,Dorchester,112,3575,0.03132867132867133,0.011406456869334962,0.2016498625114574
