FID,PARENT,STATUS,LENGTH,GREENBOOK,HIGHWAY,GIS,JURISDICTI,QC_NOTE,FUN_CLASS,GRID,MIN_STATIO,MAX_STATIO,COUNCIL,DISTRICT1,District,NO_LABEL,RTE_SYS_ED,Shape__Length,District_Split
142,ALPHA1, ,966,Alpha Rd,ALPHA RD,1,PUBLIC WAY, ,LO,0,0,966,4,3-07,3-07,0, ,397.945468826139,['3-07']
143,ALPHE1, ,1175,Alpheus Rd,ALPHEUS RD,1,PUBLIC WAY, ,CO,0,0,1175,5,2-08,2-08,0, ,484.480018794849,['2-08']
144,ALPIN1, ,977,Alpine St,ALPINE ST WR,1,PUBLIC WAY, ,LO,0,0,977,7,1-10B,1-10B,0, ,403.22376389790605,['1-10B']
145,ALPIN3, ,198,Alpine Pl,ALPINE PL,1,PRIVATE WAY, ,LO,0,0,198,7,1-10B,1-10B,0, ,81.63894551458509,['1-10B']
146,ALPIN4, ,581,Alpine Way,ALPINE WAY,1,PRIVATE WAY, ,LO,0,0,581,3,3-03,3-03,0, ,239.52558307400398,['3-03']
147,ALPIN5, ,557,Alpine St,ALPINE ST HP,1,PRIVATE WAY, ,LO,0,0,557,5,2-08,2-08,1, ,229.217005754154,['2-08']
148,ALTAC1, ,296,Altacrest Rd,ALTACREST RD,1,PUBLIC WAY, ,LO,0,0,296,6,2-06,2-06,0, ,121.6659929286,['2-06']
149,ALTAI1, ,403,Altair Rd,ALTAIR RD,1,PRIVATE WAY, ,LO,0,0,403,6,2-06,2-06,0, ,165.874261986947,['2-06']
150,ALTHE1, ,334,Althea St,ALTHEA ST,1,PUBLIC WAY, ,LO,0,0,334,3,3-07,3-07,1, ,137.88321373543002,['3-07']
151,ALTHE2, ,285,Alther St,ALTHER ST,1,PUBLIC WAY, ,LO,0,0,285,7,1-10B,1-10B,1, ,117.17118786483499,['1-10B']
152,ALTON1, ,559,Alton Ct,ALTON CT,1,PRIVATE WAY, ,LO,0,0,559,8,1-10A,1-10A,0, ,230.76584011396199,['1-10A']
153,ALVAH1, ,99,Alvah Kittredge St,ALVAH KITTREDGE PK,1,PUBLIC WAY, ,LO,0,0,99,7,1-10B,1-10B,1, ,40.896941634266206,['1-10B']
154,ALVAN1, ,211,Alvan Ter,ALVAN TER,1,PUBLIC WAY, ,LO,0,0,211,7,3-03,3-03,0, ,86.9729848055787,['3-03']
155,ALVAR1, ,562,Alvarado Ave,ALVARADO AV,1,PUBLIC WAY, ,LO,0,0,562,5,2-08,2-08,1, ,231.08782155414798,['2-08']
156,ALVES1, ,924,Alveston St,ALVESTON ST,1,PUBLIC WAY, ,LO,0,0,924,6,2-02,2-02,0, ,381.38188586861395,['2-02']
157,ALVES3, ,178,Alveston Ter,ALVESTON TER,1,PRIVATE WAY, ,LO,0,0,178,6,2-02,2-02,0, ,73.48687347463441,['2-02']
158,ALWAR1, ,475,Alward Rd,ALWARD RD,1,PUBLIC WAY, ,LO,0,0,475,6,2-06,2-06,0, ,196.21981848568402,['2-06']
159,ALWIN1, ,1476,Alwin St,ALWIN ST,1,PUBLIC WAY, ,LO,0,0,1476,5,2-08,2-08,0, ,607.481181940704,['2-08']
160,AMBOY1, ,201,Amboy St,AMBOY ST,1,PUBLIC WAY, ,LO,0,0,201,9,2-04,2-04,1, ,82.70038203198921,['2-04']
161,AMBRO1, ,460,Ambrose St,AMBROSE ST,1,PUBLIC WAY, ,LO,0,0,460,7,1-10B,1-10B,0, ,189.428268779999,['1-10B']
162,AMERI1, ,14162,American Legion Hwy,AMERICAN LEG HWY NB,1,PUBLIC WAY, ,AR,0,0,14162,5,"2-02, 2-08, 3-03, 3-07","2-02, 2-08, 3-03, 3-07",0, ,5836.722989970301,"['2-02', ' 2-08', ' 3-03', ' 3-07']"
163,AMERI2, ,14209,American Legion Hwy,AMERICAN LEG HWY SB,1,PUBLIC WAY, ,AR,0,0,14209,5,"2-02, 2-08, 3-03, 3-07","2-02, 2-08, 3-03, 3-07",0, ,5856.100939575041,"['2-02', ' 2-08', ' 3-03', ' 3-07']"
164,AMES 1, ,1606,Ames St,AMES ST,1,PUBLIC WAY, ,LO,0,0,1606,4,3-07,3-07,1, ,661.390948650796,['3-07']
165,AMESB1, ,294,Amesbury St,AMESBURY ST,1,PUBLIC WAY, ,LO,0,0,294,6,2-06,2-06,0, ,121.193272609259,['2-06']
166,AMHER1, ,607,Amherst St,AMHERST ST,1,PUBLIC WAY, ,LO,0,0,607,5,2-06,2-06,1, ,250.319943406725,['2-06']
167,AMORE1, ,198,Amoret Rd,AMORET RD,1,PRIVATE WAY, ,LO,0,0,198,6,2-06,2-06,0, ,81.4660755350267,['2-06']
