FID,PARENT,STATUS,LENGTH,GREENBOOK,HIGHWAY,GIS,JURISDICTI,QC_NOTE,FUN_CLASS,GRID,MIN_STATIO,MAX_STATIO,COUNCIL,DISTRICT1,District,NO_LABEL,RTE_SYS_ED,Shape__Length,District_Split
1,ENNIS1, ,392,Ennis Rd,ENNIS RD,1,PUBLIC WAY, ,LO,0,0,392,7,2-02,2-02,0, ,161.784163753803,['2-02']
2,COMMO4, ,500,Common St,COMMON ST,1,PUBLIC WAY, ,LO,0,0,500,1,1-1A,1-1A,0, ,206.470292378083,['1-1A']
3,ENTER1, ,1132,Enterprise St,ENTERPRISE ST,1,PUBLIC WAY, ,LO,0,0,1132,2,3-03,3-03,0, ,466.764571141745,['3-03']
4,HARLE1, ,612,Harlem St,HARLEM ST,1,PUBLIC WAY, ,LO,0,0,612,4,3-03,3-03,0, ,252.107495070791,['3-03']
5,COMMO5, ,29000,Commonwealth Ave,COMMONWEALTH AV EB,1,PUBLIC WAY, ,AR,0,0,29000,9,"1-10A, 1-1C, 2-04","1-10A, 1-1C, 2-04",1, ,11949.9029451796,"['1-10A', ' 1-1C', ' 2-04']"
6,EPPIN1, ,293,Epping St,EPPING ST,1,PUBLIC WAY, ,LO,0,0,293,4,3-07,3-07,0, ,120.550643216268,['3-07']
7,ERIC 1, ,318,Eric Rd,ERIC RD,1,PUBLIC WAY, ,LO,0,0,318,9,2-04,2-04,0, ,131.494301155292,['2-04']
8,HARLE2, ,274,Harleston St,HARLESTON ST,1,PUBLIC WAY, ,LO,0,0,274,8,1-10A,1-10A,0, ,113.287226507148,['1-10A']
9,A ST 1, ,4307,A St,A ST SB,1,PUBLIC WAY, ,AR,0,0,4307,2,3-05,3-05,0, ,1777.90881002672,['3-05']
10,COMMO9, ,149,Commodore Ter,COMMODORE TER,1,PRIVATE WAY, ,LO,0,0,149,5,2-08,2-08,1, ,61.3774361240285,['2-08']
11,ERICS1, ,408,Ericsson St,ERICSSON ST,1,PUBLIC WAY, ,LO,0,0,408,3,3-07,3-07,0, ,167.701073943621,['3-07']
12,A ST 3, ,442,A St,A ST HP,1,PRIVATE WAY, ,LO,0,0,442,5,2-08,2-08,0, ,181.828283392626,['2-08']
13,HARLE3, ,681,Harley St,HARLEY ST,1,PUBLIC WAY, ,LO,0,0,681,4,3-07,3-07,1, ,280.917708132319,['3-07']
14,COMO 1, ,2079,Como Rd,COMO RD,1,PUBLIC WAY, ,LO,0,0,2079,5,2-08,2-08,0, ,855.033006530386,['2-08']
15,HARLE4, ,142,Harlem Pl,HARLEM PL,1,PRIVATE WAY, ,LO,0,0,142,2,1-1C,1-1C,0, ,58.639621961876294,['1-1C']
16,ERIE 1, ,1681,Erie St,ERIE ST DO,1,PUBLIC WAY, ,CO,0,0,1681,4,3-03,3-03,0, ,692.4014037290581,['3-03']
17,HARLO1, ,578,Harlow St,HARLOW ST,1,PUBLIC WAY, ,LO,0,0,578,7,3-03,3-03,1, ,238.21464873647201,['3-03']
18,CONAN1, ,139,Conant Pl,CONANT PL,1,PRIVATE WAY, ,LO,0,0,139,7,1-10B,1-10B,1, ,57.4038450274079,['1-10B']
19,ABBOT1, ,755,Abbotsford St,ABBOTSFORD ST,1,PUBLIC WAY, ,LO,0,0,755,7,1-10B,1-10B,1, ,310.71725795810903,['1-10B']
20,HARMO1, ,887,Harmon St,HARMON ST,1,PUBLIC WAY, ,LO,0,0,887,5,2-08,2-08,0, ,365.72867995929,['2-08']
21,ERIE 2, ,246,Erie Pl,ERIE PL,1,PRIVATE WAY, ,LO,0,0,246,7,2-02,2-02,0, ,101.289397861041,['2-02']
22,CONCO1, ,601,Concord Ave,CONCORD AV,1,PRIVATE WAY, ,LO,0,0,601,1,1-1A,1-1A,0, ,247.658090206083,['1-1A']
23,ABBOT2, ,891,Abbot St,ABBOT ST,1,PUBLIC WAY, ,LO,0,0,891,4,3-03,3-03,1, ,367.514868933329,['3-03']
24,BOSWE1, ,309,Boswell Ln,BOSWELL LN,1,PRIVATE WAY, ,LO,0,0,309,1,1-1A,1-1A,0, ,127.614926384594,['1-1A']
25,ERNES1, ,843,Ernest Ave,ERNEST AV,1,PUBLIC WAY, ,LO,0,0,843,5,2-08,2-08,1, ,347.75474627956197,['2-08']
26,HARMO2, ,257,Harmony St,HARMONY ST,1,PUBLIC WAY, ,LO,0,0,257,1,1-09,1-09,0, ,106.342458405879,['1-09']
27,CONCO2, ,773,Concord Sq,CONCORD SQ,1,PUBLIC WAY, ,LO,0,0,773,7,1-1C,1-1C,1, ,319.147769907559,['1-1C']
28,ABBY 1, ,252,Abby Rd,ABBY RD,1,PUBLIC WAY, ,LO,0,0,252,9,2-04,2-04,0, ,103.87190702089899,['2-04']
29,HAROL1, ,1630,Harold St,HAROLD ST S,1,PUBLIC WAY, ,LO,0,0,1630,7,1-10B,1-10B,1, ,672.7144405472969,['1-10B']
30,ERNST1, ,352,Ernst St,ERNST ST,1,PUBLIC WAY, ,LO,0,0,352,6,1-10B,1-10B,0, ,145.108286310574,['1-10B']
31,BOSWO1, ,317,Bosworth St,BOSWORTH ST,1,PUBLIC WAY, ,LO,0,0,317,1,1-1C,1-1C,1, ,130.780106737208,['1-1C']
32,CONCO3, ,453,Concord St,CONCORD ST,1,PUBLIC WAY, ,LO,0,0,453,1,1-1A,1-1A,0, ,187.20754446802601,['1-1A']
33,ABERD1, ,418,Aberdeen St,ABERDEEN ST,1,PUBLIC WAY, ,LO,0,0,418,8,1-10A,1-10A,1, ,166.991802487363,['1-10A']
34,ERROL1, ,247,Errol St,ERROL ST,1,PRIVATE WAY, ,LO,0,0,247,4,3-07,3-07,1, ,101.56800914293699,['3-07']
35,CONCO4, ,254,Concord Pl,CONCORD PL,1,PRIVATE WAY, ,LO,0,0,254,7,1-1C,1-1C,0, ,104.58912869931801,['1-1C']
36,HAROL2, ,1392,Harold St,HAROLD ST N,1,PUBLIC WAY, ,LO,0,0,1392,7,1-10B,1-10B,1, ,574.3917639213411,['1-10B']
37,CONDO1, ,3541,Condor St,CONDOR ST,1,PUBLIC WAY, ,AR,0,0,3541,1,1-09,1-09,1, ,1459.74542805868,['1-09']
38,ESKRI1, ,205,Eskridge St,ESKRIDGE ST,1,PRIVATE WAY, ,LO,0,0,205,4,3-07,3-07,0, ,84.2650707566196,['3-07']
39,BOTHW1, ,683,Bothwell Rd,BOTHWELL RD,1,PUBLIC WAY, ,LO,0,0,683,9,2-04,2-04,0, ,281.30987811202004,['2-04']
40,ACACI1, ,312,Acacia Rd,ACACIA RD,1,PUBLIC WAY, ,LO,0,0,312,6,2-06,2-06,0, ,128.624878056683,['2-06']
41,BOULE1, ,520,Boulevard Ter,BOULEVARD TER,1,PUBLIC WAY, ,LO,0,0,520,9,2-04,2-04,0, ,214.106629005596,['2-04']
42,CONGR1, ,7388,Congress St,CONGRESS ST,1,PUBLIC WAY, ,AR,0,0,8244,1,"1-1B, 3-05","1-1B, 3-05",1, ,3047.31955705373,"['1-1B', ' 3-05']"
43,ACADE1, ,151,Academy Ct,ACADEMY CT,1,PUBLIC WAY, ,LO,0,0,151,7,1-10B,1-10B,0, ,62.4036091546197,['1-10B']
44,HAROL3, ,103,Harold Park,HAROLD PK,1,PUBLIC WAY, ,LO,0,0,103,7,1-10B,1-10B,0, ,42.3610597918055,['1-10B']
45,ESMON1, ,1556,Esmond St,ESMOND ST,1,PUBLIC WAY, ,LO,0,0,1556,4,3-03,3-03,0, ,641.772750368708,['3-03']
46,CONGR2, ,1460,Congreve St,CONGREVE ST,1,PUBLIC WAY, ,LO,0,0,1460,5,2-06,2-06,1, ,601.610017045306,['2-06']
47,HARRI1, ,1337,Harriet St,HARRIET ST,1,PUBLIC WAY, ,LO,0,0,1337,9,2-04,2-04,1, ,550.504151833586,['2-04']
48,BOURN1, ,784,Bournedale Rd,BOURNEDALE RD,1,PUBLIC WAY, ,LO,0,0,784,6,2-02,2-02,0, ,322.76267235445596,['2-02']
49,ACADE2, ,1704,Academy Hill Rd,ACADEMY HILL RD,1,PUBLIC WAY, ,LO,0,0,1704,9,2-04,2-04,0, ,703.9503768479151,['2-04']
50,ESSEX1, ,627,Essex St,ESSEX ST CH,1,PUBLIC WAY, ,AR,0,0,627,1,1-1A,1-1A,0, ,258.684402632846,['1-1A']
51,CONIS1, ,710,Coniston Rd,CONISTON RD,1,PUBLIC WAY, ,LO,0,0,710,5,2-06,2-06,1, ,292.592192018211,['2-06']
52,HARRI10, ,59,Harrison Pl,HARRISON PL,1,PRIVATE WAY, ,LO,0,0,59,1,1-1A,1-1A,0, ,24.4903786943084,['1-1A']
53,BOURN2, ,2757,Bourne St,BOURNE ST,1,PUBLIC WAY, ,CO,0,0,2757,6,2-02,2-02,1, ,1137.2593362753098,['2-02']
54,ACADE3, ,671,Academy Rd,ACADEMY RD,1,PUBLIC WAY, ,LO,0,0,671,7,1-10B,1-10B,1, ,276.391073295164,['1-10B']
55,ACADE4, ,146,Academy Ter,ACADEMY TER,1,PUBLIC WAY, ,LO,0,0,146,7,1-10B,1-10B,1, ,60.336981941159,['1-10B']
56,ACADI1, ,300,Acadia St,ACADIA ST,1,PUBLIC WAY, ,LO,0,0,300,2,3-05,3-05,0, ,124.13972548757401,['3-05']
57,ACCOL1, ,184,Accolon Way,ACCOLON WAY,1,PRIVATE WAY, ,LO,0,0,184,8,1-1B,1-1B,1, ,75.7916341025805,['1-1B']
58,ACHOR1, ,165,Achorn Cir,ACHORN CIR,1,PRIVATE WAY, ,LO,0,0,165,6,2-02,2-02,1, ,67.7200667632779,['2-02']
59,ACKLE1, ,240,Ackley Pl,ACKLEY PL,1,PUBLIC WAY, ,LO,0,0,240,6,2-02,2-02,1, ,98.9380945629175,['2-02']
60,ACORN1, ,256,Acorn St,ACORN ST,1,PRIVATE WAY, ,LO,0,0,256,8,1-1B,1-1B,1, ,105.478360549454,['1-1B']
61,ACTON1, ,241,Acton St,ACTON ST,1,PRIVATE WAY, ,LO,0,0,241,5,2-08,2-08,0, ,99.18884713417721,['2-08']
62,ADA S1, ,489,Ada St,ADA ST,1,PRIVATE WAY, ,LO,0,0,489,5,2-06,2-06,0, ,201.51471836212897,['2-06']
63,ADAIR1, ,546,Adair Rd,ADAIR RD,1,PUBLIC WAY, ,LO,0,0,546,9,2-04,2-04,0, ,225.86980158478698,['2-04']
64,ADAM10, ,63,Adams Pl,ADAMS PL BP,1,PRIVATE WAY, ,LO,0,0,63,2,3-05,3-05,0, ,26.119103278404797,['3-05']
65,ADAMS1, ,10499,Adams St,ADAMS ST DO N,1,PUBLIC WAY, ,AR,0,0,10499,3,"3-03, 3-07","3-03, 3-07",1, ,4333.2268382638,"['3-03', ' 3-07']"
66,ADAMS4, ,209,Adams Ter,ADAMS TER,1,PRIVATE WAY, ,LO,0,0,209,3,3-07,3-07,0, ,85.9301438964394,['3-07']
67,ADAMS5, ,1142,Adams St,ADAMS ST RX,1,PUBLIC WAY, ,CO,0,0,1142,7,1-10B,1-10B,0, ,470.99778963829596,['1-10B']
68,ADAMS6, ,1196,Adamson St,ADAMSON ST,1,PUBLIC WAY, ,LO,0,0,1196,9,2-04,2-04,1, ,492.80521676315595,['2-04']
69,ADAMS7, ,5333,Adams St,ADAMS ST DO S,1,PUBLIC WAY, ,AR,0,0,5333,3,3-07,3-07,0, ,2199.10792848118,['3-07']
70,ADAMS9, ,645,Adams St,ADAMS ST CH,1,PUBLIC WAY, ,LO,0,0,645,1,1-1A,1-1A,1, ,265.946498714685,['1-1A']
71,ADANA1, ,231,Adanac Ter,ADANAC TER,1,PUBLIC WAY, ,LO,0,0,231,3,3-07,3-07,0, ,95.1521810403413,['3-07']
72,ADDIN1, ,1704,Addington Rd,ADDINGTON RD,1,PUBLIC WAY, ,CO,0,0,1704,6,2-06,2-06,0, ,703.1352944133929,['2-06']
73,ADDIS1, ,1451,Addison St,ADDISON ST,1,PUBLIC WAY, ,CO,0,0,1451,1,1-09,1-09,0, ,598.167382364189,['1-09']
74,ADELA1, ,673,Adelaide St,ADELAIDE ST,1,PUBLIC WAY, ,LO,0,0,673,6,2-02,2-02,0, ,278.05273146567504,['2-02']
75,ADELA2, ,123,Adelaide Ter,ADELAIDE TER,1,PRIVATE WAY, ,LO,0,0,123,6,2-02,2-02,0, ,50.8209881670512,['2-02']
76,ADELL1, ,98,Adella Pl,ADELLA PL,1,PRIVATE WAY, ,LO,0,0,98,9,2-04,2-04,1, ,40.587702183070995,['2-04']
77,ADIRO1, ,116,Adirondack Pl,ADIRONDACK PL,1,PRIVATE WAY, ,LO,0,0,116,3,3-07,3-07,0, ,47.598046446024,['3-07']
78,ADMIR1, ,102,Admiral Ct,ADMIRAL CT,1,PRIVATE WAY, ,LO,0,0,102,2,3-05,3-05,0, ,42.0524960908024,['3-05']
79,ADRIA1, ,277,Adrian St,ADRIAN ST,1,PRIVATE WAY, ,LO,0,0,277,7,3-03,3-03,0, ,114.192197197094,['3-03']
80,AGASS1, ,260,Agassiz Park,AGASSIZ PK,1,PUBLIC WAY, ,LO,0,0,260,6,2-02,2-02,0, ,107.207486547481,['2-02']
81,AGASS2, ,873,Agassiz Rd,AGASSIZ RD,1,DCR, ,LO,0,0,873,8,1-10A,1-10A,0, ,359.385041526402,['1-10A']
82,AGAWA1, ,429,Agawam St,AGAWAM ST,1,PUBLIC WAY, ,LO,0,0,429,3,3-07,3-07,1, ,176.660076628018,['3-07']
83,AGNES1, ,250,Agnes Ave,AGNES AV,1,PRIVATE WAY, ,LO,0,0,250,5,2-08,2-08,0, ,103.177273629676,['2-08']
84,AGUAD1, ,933,Aguadilla St,AGUADILLA ST,1,PUBLIC WAY, ,LO,0,0,933,2,1-1C,1-1C,0, ,384.735199732774,['1-1C']
85,AINSL1, ,242,Ainsley St,AINSLEY ST,1,PUBLIC WAY, ,LO,0,0,242,3,3-07,3-07,1, ,100.000403894323,['3-07']
86,AINSW1, ,1183,Ainsworth St,AINSWORTH ST,1,PUBLIC WAY, ,LO,0,0,1183,6,2-06,2-06,1, ,487.864831636353,['2-06']
87,AINSW2, ,360,Ainsworth Street Fw,AINSWORTH ST FW,1,PUBLIC WAY, ,LO,0,0,360,5,2-06,2-06,0, ,148.45803761915002,['2-06']
88,AKRON1, ,610,Akron St,AKRON ST,1,PUBLIC WAY, ,LO,0,0,610,7,1-10B,1-10B,0, ,251.240963525381,['1-10B']
89,AKRON2, ,127,Akron Pl,AKRON PL,1,PRIVATE WAY, ,LO,0,0,127,7,1-10B,1-10B,0, ,52.4633452879117,['1-10B']
90,AL ZW1, ,110,Al Zwiercan Way,AL ZWIERCAN WAY,1,PUBLIC WAY,FORMERLY POWER ST,LO,0,0,110,2,3-03,3-03,1, ,45.228281316955005,['3-03']
91,ALABA2, ,3502,Alabama St,ALABAMA ST,1,PUBLIC WAY, ,LO,0,0,3502,5,"2-08, 3-07","2-08, 3-07",1, ,1443.8971023362399,"['2-08', ' 3-07']"
92,ALADD1, ,114,Aladdin Ct,ALADDIN CT,1,PRIVATE WAY, ,LO,0,0,114,9,2-04,2-04,0, ,46.997612672797395,['2-04']
93,ALAME1, ,486,Alameda Rd,ALAMEDA RD,1,PUBLIC WAY, ,LO,0,0,486,6,2-06,2-06,1, ,200.105495508955,['2-06']
94,ALARI1, ,735,Alaric St,ALARIC ST,1,PUBLIC WAY, ,LO,0,0,735,6,2-06,2-06,0, ,302.73435613904496,['2-06']
95,ALARI2, ,185,Alaric Ter,ALARIC TER,1,PRIVATE WAY, ,LO,0,0,185,6,2-06,2-06,0, ,76.2136021532833,['2-06']
96,ALASK1, ,591,Alaska St,ALASKA ST,1,PUBLIC WAY, ,LO,0,0,591,7,"1-10B, 3-03","1-10B, 3-03",0, ,243.56769402657798,"['1-10B', ' 3-03']"
97,ALBAN1, ,1419,Alban St,ALBAN ST,1,PUBLIC WAY, ,LO,0,0,1419,4,3-07,3-07,0, ,585.789066312422,['3-07']
98,ALBAN2, ,1526,Albano St,ALBANO ST,1,PUBLIC WAY, ,CO,0,0,1526,5,2-06,2-06,0, ,628.8018378313529,['2-06']
99,ALBAN3, ,7899,Albany St,ALBANY ST,1,PUBLIC WAY, ,AR,0,0,7899,2,"1-10B, 1-1C","1-10B, 1-1C",0, ,3259.22299973156,"['1-10B', ' 1-1C']"
100,ALBEM1, ,279,Albemarle St,ALBEMARLE ST BP,1,PUBLIC WAY, ,LO,0,0,279,7,1-1C,1-1C,1, ,115.006917522945,['1-1C']
101,ALBEM2, ,492,Albemarle St,ALBEMARLE ST HP,1,PRIVATE WAY, ,LO,0,0,492,5,2-08,2-08,0, ,202.32480155726898,['2-08']
102,ALBEM3, ,153,Albemarle Ct,ALBEMARLE CT,1,PRIVATE WAY, ,LO,0,0,153,5,2-08,2-08,0, ,63.084260507301906,['2-08']
103,ALBEM4, ,106,Albemarle Ter,ALBEMARLE TER,1,PRIVATE WAY, ,LO,0,0,106,7,1-1C,1-1C,1, ,43.717206987541104,['1-1C']
104,ALBER1, ,1083,Albert St,ALBERT ST,1,BHA, ,LO,0,0,1083,8,1-10A,1-10A,1, ,446.893623383601,['1-10A']
105,ALBER2, ,561,Alberta St,ALBERTA ST,1,PUBLIC WAY, ,LO,0,0,561,6,2-06,2-06,0, ,231.37329717387797,['2-06']
106,ALBIO1, ,383,Albion Pl,ALBION PL,1,PUBLIC WAY, ,LO,0,0,383,1,1-1A,1-1A,1, ,158.183089482159,['1-1A']
107,ALBIO2, ,689,Albion St,ALBION ST HP,1,PUBLIC WAY, ,LO,0,0,689,5,2-08,2-08,1, ,284.127721256256,['2-08']
108,ALBIO3, ,531,Albion St,ALBION ST DO,1,PUBLIC WAY, ,LO,0,0,531,7,3-03,3-03,0, ,218.73620953115002,['3-03']
109,ALBRI1, ,411,Albright St,ALBRIGHT ST,1,PUBLIC WAY, ,LO,0,0,411,6,2-06,2-06,0, ,169.469572049124,['2-06']
110,ALCOR1, ,715,Alcorn St,ALCORN ST,1,PUBLIC WAY, ,LO,0,0,715,9,2-04,2-04,0, ,295.55128776253997,['2-04']
111,ALCOT1, ,526,Alcott St,ALCOTT ST,1,PUBLIC WAY, ,LO,0,0,526,9,2-04,2-04,0, ,216.74227616960601,['2-04']
112,ALDER1, ,517,Alder St,ALDER ST,1,PRIVATE WAY, ,LO,0,0,517,5,2-06,2-06,1, ,213.17967713221,['2-06']
113,ALDIE1, ,1088,Aldie St,ALDIE ST,1,PUBLIC WAY, ,LO,0,0,1088,9,2-04,2-04,1, ,448.307146521093,['2-04']
114,ALDO 1, ,256,Aldo Ter,ALDO TER,1,PRIVATE WAY, ,LO,0,0,256,5,2-08,2-08,0, ,105.254649794594,['2-08']
115,ALDRI1, ,2267,Aldrich St,ALDRICH ST,1,PUBLIC WAY, ,LO,0,0,2267,5,2-06,2-06,0, ,934.492639424951,['2-06']
116,ALDWI1, ,209,Aldwin Rd,ALDWIN RD,1,PUBLIC WAY, ,LO,0,0,209,5,2-02,2-02,0, ,85.99777364800622,['2-02']
117,ALDWO1, ,846,Aldworth St,ALDWORTH ST,1,PUBLIC WAY, ,LO,0,0,846,6,2-02,2-02,1, ,349.314015239231,['2-02']
118,ALEXA1, ,2182,Alexander St,ALEXANDER ST,1,PUBLIC WAY, ,LO,0,0,2182,7,3-03,3-03,1, ,900.977126854168,['3-03']
119,ALFOR1, ,4116,Alford St,ALFORD ST CH,1,PUBLIC WAY, ,AR,0,0,4116,1,1-1A,1-1A,0, ,1700.9995753142002,['1-1A']
120,ALFRE1, ,162,Alfred St,ALFRED ST,1,PUBLIC WAY, ,LO,0,0,162,6,2-02,2-02,0, ,66.9482878897565,['2-02']
121,ALGER1, ,1011,Alger St,ALGER ST,1,PUBLIC WAY, ,LO,0,0,1011,2,3-05,3-05,0, ,416.277691059843,['3-05']
122,ALGON1, ,858,Algonquin St,ALGONQUIN ST,1,PUBLIC WAY, ,LO,0,0,858,4,3-03,3-03,1, ,353.299437466264,['3-03']
123,ALHAM1, ,521,Alhambra Rd,ALHAMBRA RD,1,PUBLIC WAY, ,LO,0,0,521,6,2-06,2-06,1, ,214.457994148048,['2-06']
124,ALICI1, ,956,Alicia Rd,ALICIA RD,1,PUBLIC WAY, ,LO,0,0,956,3,3-07,3-07,0, ,394.57151431066706,['3-07']
125,ALKYR1, ,383,Alkyris Rd,ALKYRIS RD,1,PRIVATE WAY, ,LO,0,0,383,6,2-06,2-06,0, ,158.039689911445,['2-06']
126,ALLEG1, ,1018,Alleghany St,ALLEGHANY ST,1,PUBLIC WAY, ,LO,0,0,1018,8,1-10A,1-10A,1, ,419.67087653951796,['1-10A']
127,ALLEN1, ,266,Allen's Aly,ALLENS ALLEY,1,PRIVATE WAY, ,LO,0,0,266,2,1-1C,1-1C,1, ,109.741540259076,['1-1C']
128,ALLEN3, ,538,Allenwood St,ALLENWOOD ST,1,PUBLIC WAY, ,LO,0,0,538,6,2-06,2-06,0, ,221.514851626474,['2-06']
129,ALLEN4, ,387,Allen Rd,ALLEN RD,1,PRIVATE WAY, ,LO,0,0,387,9,2-04,2-04,0, ,159.838156227926,['2-04']
130,ALLEN5, ,258,Allen St,ALLEN ST HP,1,PRIVATE WAY, ,LO,0,0,258,5,2-08,2-08,0, ,106.226592569339,['2-08']
131,ALLEN6, ,389,Allen St,ALLEN ST WR,1,PRIVATE WAY, ,LO,0,0,389,5,2-02,2-02,0, ,160.04637224084,['2-02']
132,ALLER1, ,1221,Allerton St,ALLERTON ST,1,PUBLIC WAY, ,LO,0,0,1221,7,"1-10B, 3-03","1-10B, 3-03",0, ,503.672502449849,"['1-10B', ' 3-03']"
133,ALLEY1, ,768,Alleyne St,ALLEYNE ST,1,PUBLIC WAY, ,LO,0,0,768,6,2-06,2-06,0, ,316.76179521093496,['2-06']
134,ALLST1, ,201,Allstate Rd,ALLSTATE RD,1,PUBLIC WAY, ,LO,0,0,201,2,3-03,3-03,0, ,83.0124445350784,['3-03']
135,ALLST2, ,4204,Allston St,ALLSTON ST BR,1,PUBLIC WAY, ,CO,0,0,4204,9,2-04,2-04,0, ,1736.07893665939,['2-04']
136,ALLST3, ,1032,Allston St,ALLSTON ST DO,1,PUBLIC WAY, ,LO,0,0,1032,4,3-07,3-07,0, ,425.919418722903,['3-07']
137,ALLST4, ,687,Allston St,ALLSTON ST CH,1,PUBLIC WAY, ,LO,0,0,687,1,1-1A,1-1A,0, ,283.830589243499,['1-1A']
138,ALLST5, ,138,Allston Sq,ALLSTON SQ,1,PRIVATE WAY, ,LO,0,0,138,9,2-04,2-04,0, ,57.02947183121571,['2-04']
139,ALMON1, ,3083,Almont St,ALMONT ST,1,PUBLIC WAY, ,AR,0,0,3083,5,3-07,3-07,1, ,1271.34263120114,['3-07']
140,ALMY 1, ,760,Almy St,ALMY ST (MTA),1,MTA, ,LO,0,0,760,9,2-04,2-04,0, ,313.325133725719,['2-04']
141,ALNA 1, ,171,Alna Pl,ALNA PL,1,PRIVATE WAY, ,LO,0,0,171,1,1-09,1-09,0, ,70.76588147179909,['1-09']
