,GlobalID,geometry,Sidewalk_ID
0,1f823362-3158-4962-a052-63c0423f0920,POINT (-7910200.2581 5215757.319600001),22181
1,ff26eb97-df6d-4397-818d-039286455d6e,POINT (-7910200.8184 5215760.144199997),22181
2,08a1879f-4d56-4f87-9bff-56a6f2afcce1,POINT (-7910197.051000002 5215768.779700004),22181
3,f16493e6-ae37-400b-b4e8-03e29a628101,POINT (-7909968.1286 5215370.892200001),5598
4,5ea5e09e-c351-4777-ae62-120cb83eee07,POINT (-7909975.9311 5215370.464400001),4507
5,0abbc4a2-cb4a-493a-8e0d-71cb6c67114b,POINT (-7909983.0493 5215362.314400002),4507
6,55c62d4c-ea0b-49da-9170-b657bf2a0c69,POINT (-7909375.8768 5215453.786899999),22145
7,a57e4d73-230b-4eed-a264-d0fe2ca88a88,POINT (-7909381.6743 5215512.979999997),22146
8,6c606737-f540-4b88-a32e-6b75e5b4f4b7,POINT (-7909707.5155 5216206.982900001),10771
9,2b30176e-04a8-4912-95f2-224d6b94e5bb,POINT (-7909715.8078 5216193.695900001),10754
10,fdda7e68-6bc8-4d23-b0e1-1ca4cd56f1cc,POINT (-7909726.3204 5216176.035999998),10755
11,b85eea9e-781a-428e-9424-a4b777159ce9,POINT (-7909739.2444 5216157.398400001),10754
12,a0b52b2c-07e9-4697-bd67-673cd341507d,POINT (-7909525.4245 5215346.889300004),16425
13,714e70ce-0b23-47d1-9069-b1d5bc3bd935,POINT (-7909535.717 5215353.654799998),5096
14,eb3b25df-a3f5-4bb6-bf1e-676338416c61,POINT (-7909542.4544 5215351.741099998),5096
15,02df659c-092c-404c-a583-9e76a9ce68fb,POINT (-7909519.3988 5215368.338399999),10173
16,cb10b02e-0b8e-4028-b0b3-dcef526cf751,POINT (-7909621.1751 5215381.3627),11398
17,7926171e-c4f8-4ea5-9770-068a0e3bc839,POINT (-7909624.8738 5215372.8182),11398
18,442e710f-942d-4ddc-a9bb-dfebe5f5de79,POINT (-7909579.5088 5215448.065200001),11299
19,11acf68e-6fd6-4010-899e-37afe998cf33,POINT (-7909569.4758 5215459.789999999),11299
20,22dcd970-9c81-4d68-ab3b-35c9977e2eaf,POINT (-7909562.3276 5215467.741899997),11299
21,f01f9442-b1cd-4674-9679-9fcefb05e1ad,POINT (-7909558.9963 5215472.499499999),11299
22,605d3a61-6940-45a8-b516-2107e6b3c235,POINT (-7909577.4428 5215402.006099999),15387
23,35ea5056-b0d8-4a02-ae33-860b5d8fa4d0,POINT (-7909570.7705 5215396.067299999),15487
24,bee36716-c8f2-4e0e-8341-c1d1b48f0e11,POINT (-7909529.2852 5215388.5374),10172
25,976543d8-aee8-4384-aaff-42200f07d538,POINT (-7909504.3112 5215428.4004999995),10172
