,case_enquiry_id,open_dt,target_dt,closed_dt,ontime,case_status,closure_reason,case_title,subject,reason,type,location,location_street_name,location_zipcode,latitude,longitude,source
1127,101004631109,2023-01-14 18:06:00,2023-01-18 08:30:00,,OVERDUE,Open, ,Sidewalk Repair (Make Safe),Public Works Department,Highway Maintenance,Sidewalk Repair (Make Safe),2 Saint Brendan Rd  Dorchester  MA  02124,2 Saint Brendan Rd,2124.0,42.2797,-71.0507,Citizens Connect App
1160,101004631495,2023-01-15 12:40:00,2023-01-18 08:30:00,,OVERDUE,Open, ,Sidewalk Repair (Make Safe),Public Works Department,Highway Maintenance,Sidewalk Repair (Make Safe),48 Waltham St  Roxbury  MA  02118,48 Waltham St,2118.0,42.3421,-71.0696,Citizens Connect App
1293,101004633228,2023-01-17 12:41:00,2023-01-18 12:41:08,,OVERDUE,Open, ,Sidewalk Repair (Make Safe),Public Works Department,Highway Maintenance,Sidewalk Repair (Make Safe),624-626 E Second St  South Boston  MA  02127,624-626 E Second St,2127.0,42.3374,-71.0383,Citizens Connect App
1438,101004635060,2023-01-18 15:38:00,2023-01-19 15:38:42,,OVERDUE,Open, ,Sidewalk Repair (Make Safe),Public Works Department,Highway Maintenance,Sidewalk Repair (Make Safe),48 Parkman St  Dorchester  MA  02122,48 Parkman St,2122.0,42.2973,-71.0573,Citizens Connect App
1453,101004635180,2023-01-18 16:33:00,2023-01-19 16:33:01,,OVERDUE,Open, ,Sidewalk Repair (Make Safe),Public Works Department,Highway Maintenance,Sidewalk Repair (Make Safe),INTERSECTION of Essex St & Atlantic Ave  Boston  MA  ,INTERSECTION Essex St & Atlantic Ave,,42.3594,-71.0587,Constituent Call
1710,101004643570,2023-01-25 17:15:00,2023-01-27 08:30:00,,OVERDUE,Open, ,Sidewalk Repair (Make Safe),Public Works Department,Highway Maintenance,Sidewalk Repair (Make Safe),INTERSECTION of Brookley Rd & Washington St  Jamaica Plain  MA  ,INTERSECTION Brookley Rd & Washington St,,42.3594,-71.0587,Citizens Connect App
1741,101004638768,2023-01-21 14:18:00,2023-01-24 08:30:00,,OVERDUE,Open, ,Sidewalk Repair (Make Safe),Public Works Department,Highway Maintenance,Sidewalk Repair (Make Safe),11 Whitman St  Dorchester  MA  02124,11 Whitman St,2124.0,42.2873,-71.0774,Citizens Connect App
1821,101004643979,2023-01-26 08:07:00,2023-01-27 08:30:00,,OVERDUE,Open, ,Sidewalk Repair (Make Safe),Public Works Department,Highway Maintenance,Sidewalk Repair (Make Safe),INTERSECTION of Charles Street Fwy & Toledo Ter  Dorchester  MA  ,INTERSECTION Charles Street Fwy & Toledo Ter,,42.3594,-71.0587,Citizens Connect App
1846,101004640332,2023-01-23 12:32:00,2023-01-24 12:32:53,,OVERDUE,Open, ,Sidewalk Repair (Make Safe),Public Works Department,Highway Maintenance,Sidewalk Repair (Make Safe),INTERSECTION of Agassiz Park & Burroughs St  Jamaica Plain  MA  ,INTERSECTION Agassiz Park & Burroughs St,,42.3594,-71.0587,Citizens Connect App
1855,101004640452,2023-01-23 13:48:00,2023-01-24 13:49:02,,OVERDUE,Open, ,Sidewalk Repair (Make Safe),Public Works Department,Highway Maintenance,Sidewalk Repair (Make Safe),223 W Newton St  Boston  MA  02116,223 W Newton St,2116.0,42.3442,-71.0797,Citizens Connect App
1916,101004641275,2023-01-24 08:50:00,2023-01-26 08:50:46,,OVERDUE,Open, ,Unshoveled Sidewalk,Public Works Department,Code Enforcement,Unshoveled Sidewalk,INTERSECTION of Cambridge St & Charles St  Boston  MA  ,INTERSECTION Cambridge St & Charles St,,42.3594,-71.0587,Citizens Connect App
1945,101004641647,2023-01-24 11:36:00,2023-01-25 11:36:48,,OVERDUE,Open, ,Sidewalk Repair (Make Safe),Public Works Department,Highway Maintenance,Sidewalk Repair (Make Safe),INTERSECTION of Austin St & Main St  Charlestown  MA  ,INTERSECTION Austin St & Main St,,42.3594,-71.0587,Citizens Connect App
1961,101004641980,2023-01-24 15:16:00,2023-01-25 15:16:49,,OVERDUE,Open, ,Sidewalk Repair (Make Safe),Public Works Department,Highway Maintenance,Sidewalk Repair (Make Safe),14 O St  South Boston  MA  02127,14 O St,2127.0,42.3377,-71.0291,Constituent Call
2003,101004642473,2023-01-25 04:36:45,2024-01-25 04:36:45,,ONTIME,Open, ,Sidewalk Repair,Public Works Department,Highway Maintenance,Sidewalk Repair,INTERSECTION of Glenville Ave & Price Rd  Allston  MA  ,INTERSECTION Glenville Ave & Price Rd,,42.3594,-71.0587,Employee Generated
2074,101004643433,2023-01-25 15:40:00,2023-01-26 15:40:42,,OVERDUE,Open, ,Sidewalk Repair (Make Safe),Public Works Department,Highway Maintenance,Sidewalk Repair (Make Safe),INTERSECTION of Longwood Ave & Huntington Ave  Mission Hill  MA  ,INTERSECTION Longwood Ave & Huntington Ave,,42.3594,-71.0587,Citizens Connect App
2251,101004645565,2023-01-27 09:03:00,2023-01-30 09:03:36,,OVERDUE,Open, ,Sidewalk Repair (Make Safe),Public Works Department,Highway Maintenance,Sidewalk Repair (Make Safe),314 Shawmut Ave  Roxbury  MA  02118,314 Shawmut Ave,2118.0,42.3421,-71.0704,Citizens Connect App
2308,101004646129,2023-01-27 14:08:00,2023-01-30 14:08:01,,OVERDUE,Open, ,Sidewalk Repair (Make Safe),Public Works Department,Highway Maintenance,Sidewalk Repair (Make Safe),2583 Centre St  West Roxbury  MA  02132,2583 Centre St,2132.0,42.2625,-71.1638,Constituent Call
2381,101004647045,2023-01-28 11:34:00,2023-01-31 08:30:00,,OVERDUE,Open, ,Sidewalk Repair (Make Safe),Public Works Department,Highway Maintenance,Sidewalk Repair (Make Safe),24 Clinton St  Boston  MA  02109,24 Clinton St,2109.0,42.3609,-71.0547,Citizens Connect App
2497,101004648452,2023-01-30 06:44:00,2023-01-31 08:30:00,,OVERDUE,Open, ,Sidewalk Repair (Make Safe),Public Works Department,Highway Maintenance,Sidewalk Repair (Make Safe),126 D St  South Boston  MA  02127,126 D St,2127.0,42.3358,-71.0546,Citizens Connect App
2572,101004649279,2023-01-30 13:29:00,2023-01-31 13:29:36,,OVERDUE,Open, ,Sidewalk Repair (Make Safe),Public Works Department,Highway Maintenance,Sidewalk Repair (Make Safe),161 Newbury St  Boston  MA  02116,161 Newbury St,2116.0,42.3509,-71.0787,Constituent Call
2604,101004649676,2023-01-30 16:44:00,2023-01-31 16:44:43,,OVERDUE,Open, ,Sidewalk Repair (Make Safe),Public Works Department,Highway Maintenance,Sidewalk Repair (Make Safe),195-197R Webster St  East Boston  MA  02128,195-197R Webster St,2128.0,42.3652,-71.0338,Constituent Call
2884,101004653298,2023-02-02 13:44:00,2023-02-03 13:45:06,,OVERDUE,Open, ,Sidewalk Repair (Make Safe),Public Works Department,Highway Maintenance,Sidewalk Repair (Make Safe),INTERSECTION of Fairland St & Mount Pleasant Ave  Roxbury  MA  ,INTERSECTION Fairland St & Mount Pleasant Ave,,42.3594,-71.0587,Citizens Connect App
3365,101004660191,2023-02-07 17:07:00,,,ONTIME,Open, ,Sidewalk Cover / Manhole,Boston Water & Sewer Commission,Sidewalk Cover / Manhole,Sidewalk Cover / Manhole,1240 River St  Hyde Park  MA  02136,1240 River St,2136.0,42.2558,-71.1232,Constituent Call
3427,101004661130,2023-02-08 11:46:40,2024-02-08 11:46:40,,ONTIME,Open, ,Sidewalk Repair,Public Works Department,Highway Maintenance,Sidewalk Repair,INTERSECTION of Sutherland Rd & Chestnut Hill Ave  Brighton  MA  ,INTERSECTION Sutherland Rd & Chestnut Hill Ave,,42.3594,-71.0587,Constituent Call
3537,101004662407,2023-02-09 11:32:00,2023-02-10 11:32:43,,OVERDUE,Open, ,Sidewalk Repair (Make Safe),Public Works Department,Highway Maintenance,Sidewalk Repair (Make Safe),INTERSECTION of Waltham St & Tremont St  Boston  MA  ,INTERSECTION Waltham St & Tremont St,,42.3594,-71.0587,Employee Generated
3776,101004665531,2023-02-12 15:24:00,2023-02-14 08:30:00,,OVERDUE,Open, ,Sidewalk Repair (Make Safe),Public Works Department,Highway Maintenance,Sidewalk Repair (Make Safe),121 Poplar St  Roslindale  MA  02131,121 Poplar St,2131.0,42.2837,-71.1285,Citizens Connect App
3814,101004665976,2023-02-13 09:02:00,2023-02-14 09:02:43,,OVERDUE,Open, ,Sidewalk Repair (Make Safe),Public Works Department,Highway Maintenance,Sidewalk Repair (Make Safe),82 High St  Charlestown  MA  02129,82 High St,2129.0,42.3773,-71.0652,Constituent Call
3862,101004666706,2023-02-13 15:17:00,2023-02-14 15:17:18,,OVERDUE,Open, ,Sidewalk Repair (Make Safe),Public Works Department,Highway Maintenance,Sidewalk Repair (Make Safe),50 Fremont St  Mattapan  MA  02126,50 Fremont St,2126.0,42.2707,-71.0912,Constituent Call
3885,101004667304,2023-02-14 07:40:00,,,ONTIME,Open, ,Sidewalk Cover / Manhole,Boston Water & Sewer Commission,Sidewalk Cover / Manhole,Sidewalk Cover / Manhole,INTERSECTION of Dexter St & Alford St  Charlestown  MA  ,INTERSECTION Dexter St & Alford St,,42.3594,-71.0587,Constituent Call
3951,101004667831,2023-02-14 12:25:00,2023-02-15 12:25:08,,OVERDUE,Open, ,Sidewalk Repair (Make Safe),Public Works Department,Highway Maintenance,Sidewalk Repair (Make Safe),649-651 Walk Hill St  Mattapan  MA  02126,649-651 Walk Hill St,2126.0,42.279,-71.0962,Citizens Connect App
3980,101004668197,2023-02-14 16:20:00,2023-02-15 16:20:48,,OVERDUE,Open, ,Sidewalk Repair (Make Safe),Public Works Department,Highway Maintenance,Sidewalk Repair (Make Safe),1200 Adams St  Dorchester  MA  02124,1200 Adams St,2124.0,42.272,-71.0672,Citizens Connect App
4122,101004679906,2023-02-16 07:45:00,2023-02-17 08:30:00,,OVERDUE,Open, ,Sidewalk Repair (Make Safe),Public Works Department,Highway Maintenance,Sidewalk Repair (Make Safe),93 Lonsdale St  Dorchester  MA  02124,93 Lonsdale St,2124.0,42.2909,-71.0588,Citizens Connect App
4131,101004679994,2023-02-16 08:29:00,2023-02-17 08:30:00,,OVERDUE,Open, ,Sidewalk Repair (Make Safe),Public Works Department,Highway Maintenance,Sidewalk Repair (Make Safe),158 W Brookline St  Roxbury  MA  02118,158 W Brookline St,2118.0,42.3423,-71.0759,Constituent Call
4325,101004682501,2023-02-18 10:11:00,2023-02-22 08:30:00,,OVERDUE,Open, ,Sidewalk Repair (Make Safe),Public Works Department,Highway Maintenance,Sidewalk Repair (Make Safe),525 Lagrange St  West Roxbury  MA  02132,525 Lagrange St,2132.0,42.2841,-71.1614,Citizens Connect App
4328,101004682541,2023-02-18 10:58:00,2023-02-22 08:30:00,,OVERDUE,Open, ,Sidewalk Repair (Make Safe),Public Works Department,Highway Maintenance,Sidewalk Repair (Make Safe),209 W Springfield St  Roxbury  MA  02118,209 W Springfield St,2118.0,42.3406,-71.0802,Citizens Connect App
4339,101004682704,2023-02-18 14:24:00,2023-02-22 08:30:00,,OVERDUE,Open, ,Sidewalk Repair (Make Safe),Public Works Department,Highway Maintenance,Sidewalk Repair (Make Safe),5 Melrose St  Boston  MA  02116,5 Melrose St,2116.0,42.3494,-71.0673,Citizens Connect App
4750,101004687360,2023-02-23 14:44:00,2023-02-24 14:44:03,,OVERDUE,Open, ,Sidewalk Repair (Make Safe),Public Works Department,Highway Maintenance,Sidewalk Repair (Make Safe),56 E Springfield St  Roxbury  MA  02118,56 E Springfield St,2118.0,42.3357,-71.0746,Constituent Call
4757,101004687418,2023-02-23 15:25:00,2023-02-24 15:25:14,,OVERDUE,Open, ,Sidewalk Repair (Make Safe),Public Works Department,Highway Maintenance,Sidewalk Repair (Make Safe),INTERSECTION of Bradbury St & Mansfield St  Allston  MA  ,INTERSECTION Bradbury St & Mansfield St,,42.3594,-71.0587,Citizens Connect App
4965,101004690055,2023-02-26 14:11:00,2023-02-28 08:30:00,,OVERDUE,Open, ,Sidewalk Repair (Make Safe),Public Works Department,Highway Maintenance,Sidewalk Repair (Make Safe),INTERSECTION of Allen's Aly & Lagrange St  Boston  MA  ,INTERSECTION Allen's Aly & Lagrange St,,42.3594,-71.0587,Citizens Connect App
4972,101004690152,2023-02-26 16:13:00,2023-02-28 08:30:00,,OVERDUE,Open, ,Sidewalk Repair (Make Safe),Public Works Department,Highway Maintenance,Sidewalk Repair (Make Safe),219 W Canton St  Boston  MA  02116,219 W Canton St,2116.0,42.3454,-71.0771,Citizens Connect App
4981,101004690323,2023-02-26 20:45:00,2023-02-28 08:30:00,,OVERDUE,Open, ,Sidewalk Repair (Make Safe),Public Works Department,Highway Maintenance,Sidewalk Repair (Make Safe),INTERSECTION of Weld St & West Roxbury Pkwy  West Roxbury  MA  ,INTERSECTION Weld St & West Roxbury Pkwy,,42.3594,-71.0587,Citizens Connect App
5247,101004693935,2023-03-01 21:46:00,2023-03-03 08:30:00,,OVERDUE,Open, ,Sidewalk Repair (Make Safe),Public Works Department,Highway Maintenance,Sidewalk Repair (Make Safe),1 Elm Lawn  Dorchester  MA  02122,1 Elm Lawn,2122.0,42.2942,-71.0607,Citizens Connect App
5400,101004695866,2023-03-03 12:39:00,2023-03-06 12:39:41,,OVERDUE,Open, ,Sidewalk Repair (Make Safe),Public Works Department,Highway Maintenance,Sidewalk Repair (Make Safe),195 Webster St  East Boston  MA  02128,195 Webster St,2128.0,42.3652,-71.0338,Constituent Call
5484,101004696886,2023-03-04 17:36:18,2023-03-07 08:30:00,,OVERDUE,Open, ,Sidewalk Repair (Make Safe),Public Works Department,Highway Maintenance,Sidewalk Repair (Make Safe),283 Heath St  Mission Hill  MA  02120,283 Heath St,2120.0,42.3282,-71.1094,Citizens Connect App
5517,101004637348,2023-01-20 10:25:00,2023-01-23 10:26:01,,OVERDUE,Open, ,Sidewalk Repair (Make Safe),Public Works Department,Highway Maintenance,Sidewalk Repair (Make Safe),106-120 Cambridge St  Boston  MA  02114,106-120 Cambridge St,2114.0,42.3611,-71.0632,Citizens Connect App
5544,101004637733,2023-01-20 13:48:00,2023-01-23 13:48:09,,OVERDUE,Open, ,Sidewalk Repair (Make Safe),Public Works Department,Highway Maintenance,Sidewalk Repair (Make Safe),97 Waltham St  Roxbury  MA  02118,97 Waltham St,2118.0,42.3437,-71.071,Citizens Connect App
5585,101004638888,2023-01-21 16:35:00,2023-01-24 08:30:00,,OVERDUE,Open, ,Sidewalk Repair (Make Safe),Public Works Department,Highway Maintenance,Sidewalk Repair (Make Safe),INTERSECTION of Draper Rd & Neponset Valley Pkwy  Hyde Park  MA  ,INTERSECTION Draper Rd & Neponset Valley Pkwy,,42.3594,-71.0587,Citizens Connect App
5606,101004639452,2023-01-22 15:09:00,2023-01-24 08:30:00,,OVERDUE,Open, ,Sidewalk Repair (Make Safe),Public Works Department,Highway Maintenance,Sidewalk Repair (Make Safe),INTERSECTION of Broad St & Custom House St  Boston  MA  ,INTERSECTION Broad St & Custom House St,,42.3594,-71.0587,Citizens Connect App
5641,101004697868,2023-03-06 08:11:00,2023-03-07 08:30:00,,OVERDUE,Open, ,Sidewalk Repair (Make Safe),Public Works Department,Highway Maintenance,Sidewalk Repair (Make Safe),1 Ringgold St  Roxbury  MA  02118,1 Ringgold St,2118.0,42.3429,-71.0701,Citizens Connect App
5783,101004698577,2023-03-06 13:59:00,2023-03-07 14:00:00,,OVERDUE,Open, ,Sidewalk Repair (Make Safe),Public Works Department,Highway Maintenance,Sidewalk Repair (Make Safe),INTERSECTION of Harcourt St & Saint Botolph St  Boston  MA  ,INTERSECTION Harcourt St & Saint Botolph St,,42.3594,-71.0587,Citizens Connect App
5815,101004699468,2023-03-07 09:14:00,2023-03-08 09:14:36,,OVERDUE,Open, ,Sidewalk Repair (Make Safe),Public Works Department,Highway Maintenance,Sidewalk Repair (Make Safe),134 Prince St  Boston  MA  02113,134 Prince St,2113.0,42.3662,-71.0573,Citizens Connect App
5836,101004699726,2023-03-07 11:20:00,2023-03-08 11:20:38,,OVERDUE,Open, ,Sidewalk Repair (Make Safe),Public Works Department,Highway Maintenance,Sidewalk Repair (Make Safe),INTERSECTION of Chatham St & Chatham Row  Boston  MA  ,INTERSECTION Chatham St & Chatham Row,,42.3594,-71.0587,Citizens Connect App
5916,101004722496,2023-03-09 13:41:00,2023-03-10 13:41:30,,OVERDUE,Open, ,Sidewalk Repair (Make Safe),Public Works Department,Highway Maintenance,Sidewalk Repair (Make Safe),127 Beacon St  Boston  MA  02116,127 Beacon St,2116.0,42.3548,-71.0737,Citizens Connect App
5958,101004700332,2023-03-07 18:34:00,2023-03-09 08:30:00,,OVERDUE,Open, ,Sidewalk Repair (Make Safe),Public Works Department,Highway Maintenance,Sidewalk Repair (Make Safe),65 Chelsea St  Charlestown  MA  02129,65 Chelsea St,2129.0,42.373,-71.0589,Citizens Connect App
6006,101004711598,2023-03-08 18:18:00,2023-03-10 08:30:00,,OVERDUE,Open, ,Sidewalk Repair (Make Safe),Public Works Department,Highway Maintenance,Sidewalk Repair (Make Safe),INTERSECTION of Canton Pl & W Brookline St  Roxbury  MA  ,INTERSECTION Canton Pl & W Brookline St,,42.3594,-71.0587,Citizens Connect App
6050,101004723072,2023-03-10 07:20:00,2023-03-13 08:30:00,,ONTIME,Open, ,Sidewalk Repair (Make Safe),Public Works Department,Highway Maintenance,Sidewalk Repair (Make Safe),INTERSECTION of Massachusetts Ave & Boylston St  Boston  MA  ,INTERSECTION Massachusetts Ave & Boylston St,,42.3594,-71.0587,Citizens Connect App
6058,101004723187,2023-03-10 08:38:00,2023-03-13 08:38:47,,ONTIME,Open, ,Sidewalk Repair (Make Safe),Public Works Department,Highway Maintenance,Sidewalk Repair (Make Safe),INTERSECTION of Summer St & Winter St  Boston  MA  ,INTERSECTION Summer St & Winter St,,42.3594,-71.0587,Citizens Connect App
6167,101004723586,2023-03-10 12:12:00,2023-03-14 13:12:23,,ONTIME,Open, ,Missing Sign,Transportation - Traffic Division,Signs & Signals,Missing Sign,INTERSECTION of Commonwealth Ave & Washington St  Brighton  MA  ,INTERSECTION Commonwealth Ave & Washington St,,42.3594,-71.0587,Constituent Call
6183,101004723963,2023-03-10 16:31:35,2023-03-13 16:31:36,,ONTIME,Open, ,Sidewalk Repair (Make Safe),Public Works Department,Highway Maintenance,Sidewalk Repair (Make Safe),INTERSECTION of Beacon St & Chestnut Hill Ave  Brighton  MA  ,INTERSECTION Beacon St & Chestnut Hill Ave,,42.3594,-71.0587,Citizens Connect App
6244,101004624665,2023-01-09 12:33:00,2023-01-10 12:33:50,,OVERDUE,Open, ,Sidewalk Repair (Make Safe),Public Works Department,Highway Maintenance,Sidewalk Repair (Make Safe),35-37 Saint Germain St  Boston  MA  02115,35-37 Saint Germain St,2115.0,42.3456,-71.0856,Citizens Connect App
6338,101004616906,2023-01-02 16:34:00,2023-01-04 08:30:00,,OVERDUE,Open, ,Sidewalk Repair (Make Safe),Public Works Department,Highway Maintenance,Sidewalk Repair (Make Safe),109-119 Beach St  Boston  MA  02111,109-119 Beach St,2111.0,42.3506,-71.058,Citizens Connect App
6590,101004619301,2023-01-04 12:14:00,2023-01-05 12:14:08,,OVERDUE,Open, ,Sidewalk Repair (Make Safe),Public Works Department,Highway Maintenance,Sidewalk Repair (Make Safe),112 Magnolia St  Dorchester  MA  02125,112 Magnolia St,2125.0,42.3147,-71.0713,Citizens Connect App
6621,101004620142,2023-01-05 07:34:00,2023-01-06 08:30:00,,OVERDUE,Open, ,Sidewalk Repair (Make Safe),Public Works Department,Highway Maintenance,Sidewalk Repair (Make Safe),15 Ruskindale Rd  Mattapan  MA  02126,15 Ruskindale Rd,2126.0,42.2697,-71.1098,Employee Generated
6743,101004623144,2023-01-07 16:56:00,2023-01-10 08:30:00,,OVERDUE,Open, ,Sidewalk Repair (Make Safe),Public Works Department,Highway Maintenance,Sidewalk Repair (Make Safe),76 Chestnut St  Boston  MA  02114,76 Chestnut St,2114.0,42.357,-71.0696,Citizens Connect App
6776,101004623472,2023-01-08 11:09:00,2023-01-10 08:30:00,,OVERDUE,Open, ,Sidewalk Repair (Make Safe),Public Works Department,Highway Maintenance,Sidewalk Repair (Make Safe),INTERSECTION of Marlborough St & Arlington St  Boston  MA  ,INTERSECTION Marlborough St & Arlington St,,42.3594,-71.0587,Citizens Connect App
6777,101004623474,2023-01-08 11:10:00,2023-01-10 08:30:00,,OVERDUE,Open, ,Sidewalk Repair (Make Safe),Public Works Department,Highway Maintenance,Sidewalk Repair (Make Safe),21 Lyndeboro St  Charlestown  MA  02129,21 Lyndeboro St,2129.0,42.38,-71.0703,Citizens Connect App
6815,101004623917,2023-01-09 04:53:57,2024-01-09 04:53:57,,ONTIME,Open, ,Sidewalk Repair,Public Works Department,Highway Maintenance,Sidewalk Repair,INTERSECTION of Foster St & Commonwealth Ave  Brighton  MA  ,INTERSECTION Foster St & Commonwealth Ave,,42.3594,-71.0587,Employee Generated
6900,101004624916,2023-01-09 15:05:00,2023-01-10 15:05:23,,OVERDUE,Open, ,Sidewalk Repair (Make Safe),Public Works Department,Highway Maintenance,Sidewalk Repair (Make Safe),32 Primrose St  Roslindale  MA  02131,32 Primrose St,2131.0,42.2909,-71.1308,Citizens Connect App
6945,101004625486,2023-01-10 04:27:00,2023-01-11 08:30:00,,OVERDUE,Open, ,Sidewalk Repair (Make Safe),Public Works Department,Highway Maintenance,Sidewalk Repair (Make Safe),INTERSECTION of Harcourt St & Saint Botolph St  Boston  MA  ,INTERSECTION Harcourt St & Saint Botolph St,,42.3594,-71.0587,Citizens Connect App
6969,101004625700,2023-01-10 08:50:00,2023-01-11 08:50:11,,OVERDUE,Open, ,Sidewalk Repair (Make Safe),Public Works Department,Highway Maintenance,Sidewalk Repair (Make Safe),INTERSECTION of North St & Congress St  Boston  MA  ,INTERSECTION North St & Congress St,,42.3594,-71.0587,Citizens Connect App
6974,101004625772,2023-01-10 09:30:00,2023-01-11 09:30:43,,OVERDUE,Open, ,Sidewalk Repair (Make Safe),Public Works Department,Highway Maintenance,Sidewalk Repair (Make Safe),INTERSECTION of Montgomery St & Dartmouth St  Boston  MA  ,INTERSECTION Montgomery St & Dartmouth St,,42.3594,-71.0587,Constituent Call
7022,101004626563,2023-01-10 17:09:00,2023-01-12 08:30:00,,OVERDUE,Open, ,Sidewalk Repair (Make Safe),Public Works Department,Highway Maintenance,Sidewalk Repair (Make Safe),INTERSECTION of Savin Hill Ave & Interstate 93 N  Dorchester  MA  ,INTERSECTION Savin Hill Ave & Interstate 93 N,,42.3594,-71.0587,Citizens Connect App
7448,101004631489,2023-01-15 12:35:00,2023-01-18 08:30:00,,OVERDUE,Open, ,Sidewalk Repair (Make Safe),Public Works Department,Highway Maintenance,Sidewalk Repair (Make Safe),43 Clarendon St  Boston  MA  02116,43 Clarendon St,2116.0,42.3456,-71.0725,Citizens Connect App
7449,101004631491,2023-01-15 12:36:00,2023-01-18 08:30:00,,OVERDUE,Open, ,Sidewalk Repair (Make Safe),Public Works Department,Highway Maintenance,Sidewalk Repair (Make Safe),4-16 Clarendon St  Boston  MA  02116,4-16 Clarendon St,2116.0,42.3594,-71.0587,Citizens Connect App
7634,101004634041,2023-01-18 04:29:00,2023-01-19 08:30:00,,OVERDUE,Open, ,Sidewalk Repair (Make Safe),Public Works Department,Highway Maintenance,Sidewalk Repair (Make Safe),5 Wenlock Rd  Dorchester  MA  02122,5 Wenlock Rd,2122.0,42.2848,-71.0486,Citizens Connect App
7666,101004634331,2023-01-18 09:34:00,2023-01-19 09:34:39,,OVERDUE,Open, ,Sidewalk Repair (Make Safe),Public Works Department,Highway Maintenance,Sidewalk Repair (Make Safe),71 Ritchie St  Roxbury  MA  02119,71 Ritchie St,2119.0,42.3218,-71.0959,Constituent Call
7668,101004634369,2023-01-18 09:49:00,2023-01-19 09:49:25,,OVERDUE,Open, ,Sidewalk (Make Safe),Public Works Department,Highway Maintenance,Sidewalk Repair (Make Safe),7 Eagle St  West Roxbury  MA  02132,7 Eagle St,2132.0,42.272,-71.1511,City Worker App
7741,101004635419,2023-01-18 21:04:00,2023-01-20 08:30:00,,OVERDUE,Open, ,Sidewalk Repair (Make Safe),Public Works Department,Highway Maintenance,Sidewalk Repair (Make Safe),39 W Newton St  Roxbury  MA  02118,39 W Newton St,2118.0,42.3391,-71.0742,Citizens Connect App
7834,101004636373,2023-01-19 13:08:00,2023-01-20 13:08:38,,OVERDUE,Open, ,Sidewalk Repair (Make Safe),Public Works Department,Highway Maintenance,Sidewalk Repair (Make Safe),4281 Washington St  Roslindale  MA  02131,4281 Washington St,2131.0,42.2851,-71.1298,Citizens Connect App
