,case_enquiry_id,open_dt,target_dt,closed_dt,ontime,case_status,closure_reason,case_title,subject,reason,type,location,location_street_name,location_zipcode,latitude,longitude,source
6,101004625054,2023-01-09 16:15:00,2023-01-10 16:15:46,,OVERDUE,Open, ,Sidewalk Repair (Make Safe),Public Works Department,Highway Maintenance,Sidewalk Repair (Make Safe),27 Briarcliff Ter  Mattapan  MA  02126,27 Briarcliff Ter,2126.0,42.2713,-71.0858,Constituent Call
27,101004616095,2023-01-01 15:10:00,2023-01-04 08:30:00,,OVERDUE,Open, ,Sidewalk Repair (Make Safe),Public Works Department,Highway Maintenance,Sidewalk Repair (Make Safe),INTERSECTION of Alban St & Talbot Ave  Dorchester  MA  ,INTERSECTION Alban St & Talbot Ave,,42.3594,-71.0587,Citizens Connect App
101,101004617325,2023-01-03 09:07:00,2023-01-04 09:07:17,,OVERDUE,Open, ,Sidewalk Repair (Make Safe),Public Works Department,Highway Maintenance,Sidewalk Repair (Make Safe),44 Appleton St  Boston  MA  02116,44 Appleton St,2116.0,42.3457,-71.0719,Citizens Connect App
345,101004618821,2023-01-04 08:43:00,2023-01-05 08:43:06,,OVERDUE,Open, ,Sidewalk Repair (Make Safe),Public Works Department,Highway Maintenance,Sidewalk Repair (Make Safe),98 Saint Rose St  Jamaica Plain  MA  02130,98 Saint Rose St,2130.0,42.3045,-71.1184,Citizens Connect App
375,101004619001,2023-01-04 10:08:00,2023-01-05 10:08:28,,OVERDUE,Open, ,Sidewalk Repair (Make Safe),Public Works Department,Highway Maintenance,Sidewalk Repair (Make Safe),73 Tremont St  Boston  MA  02108,73 Tremont St,2108.0,42.3578,-71.0608,Citizens Connect App
430,101004619819,2023-01-04 17:14:00,2023-01-06 08:30:00,,OVERDUE,Open, ,Sidewalk Repair (Make Safe),Public Works Department,Highway Maintenance,Sidewalk Repair (Make Safe),465 Ashmont St  Dorchester  MA  02122,465 Ashmont St,2122.0,42.2885,-71.054,Citizens Connect App
760,101004623060,2023-01-07 15:41:00,2023-01-10 08:30:00,,OVERDUE,Open, ,Sidewalk Repair (Make Safe),Public Works Department,Highway Maintenance,Sidewalk Repair (Make Safe),113 Greenbrier St  Dorchester  MA  02124,113 Greenbrier St,2124.0,42.296,-71.0706,Citizens Connect App
844,101004627556,2023-01-11 14:00:00,2023-01-12 14:00:07,,OVERDUE,Open, ,Sidewalk Repair (Make Safe),Public Works Department,Highway Maintenance,Sidewalk Repair (Make Safe),83 Mount Vernon St  Boston  MA  02108,83 Mount Vernon St,2108.0,42.3584,-71.0673,Citizens Connect App
1006,101004629622,2023-01-13 09:35:45,2023-01-30 09:35:52,,OVERDUE,Open, ,Missing Sign,Transportation - Traffic Division,Signs & Signals,Missing Sign,2767 Washington St  Roxbury  MA  02119,2767 Washington St,2119.0,42.3594,-71.0587,City Worker App
1058,101004630193,2023-01-13 15:01:00,2023-01-17 15:01:36,,OVERDUE,Open, ,Sidewalk Repair (Make Safe),Public Works Department,Highway Maintenance,Sidewalk Repair (Make Safe),35-37 Brown Ave  Roslindale  MA  02131,35-37 Brown Ave,2131.0,42.2809,-71.1233,Citizens Connect App
