FID,PARENT,STATUS,LENGTH,GREENBOOK,HIGHWAY,GIS,JURISDICTI,QC_NOTE,FUN_CLASS,GRID,MIN_STATIO,MAX_STATIO,COUNCIL,DISTRICT1,District,NO_LABEL,RTE_SYS_ED,Shape__Length
1,ENNIS1, ,392,Ennis Rd,ENNIS RD,1,PUBLIC WAY, ,LO,0,0,392,7,2-02,2-02,0, ,161.784163753803
2,COMMO4, ,500,Common St,COMMON ST,1,PUBLIC WAY, ,LO,0,0,500,1,1-1A,1-1A,0, ,206.470292378083
3,ENTER1, ,1132,Enterprise St,ENTERPRISE ST,1,PUBLIC WAY, ,LO,0,0,1132,2,3-03,3-03,0, ,466.764571141745
4,HARLE1, ,612,Harlem St,HARLEM ST,1,PUBLIC WAY, ,LO,0,0,612,4,3-03,3-03,0, ,252.107495070791
5,COMMO5, ,29000,Commonwealth Ave,COMMONWEALTH AV EB,1,PUBLIC WAY, ,AR,0,0,29000,9,"1-10A, 1-1C, 2-04","1-10A, 1-1C, 2-04",1, ,11949.9029451796
6,EPPIN1, ,293,Epping St,EPPING ST,1,PUBLIC WAY, ,LO,0,0,293,4,3-07,3-07,0, ,120.550643216268
7,ERIC 1, ,318,Eric Rd,ERIC RD,1,PUBLIC WAY, ,LO,0,0,318,9,2-04,2-04,0, ,131.494301155292
8,HARLE2, ,274,Harleston St,HARLESTON ST,1,PUBLIC WAY, ,LO,0,0,274,8,1-10A,1-10A,0, ,113.287226507148
9,A ST 1, ,4307,A St,A ST SB,1,PUBLIC WAY, ,AR,0,0,4307,2,3-05,3-05,0, ,1777.90881002672
10,COMMO9, ,149,Commodore Ter,COMMODORE TER,1,PRIVATE WAY, ,LO,0,0,149,5,2-08,2-08,1, ,61.3774361240285
11,ERICS1, ,408,Ericsson St,ERICSSON ST,1,PUBLIC WAY, ,LO,0,0,408,3,3-07,3-07,0, ,167.701073943621
12,A ST 3, ,442,A St,A ST HP,1,PRIVATE WAY, ,LO,0,0,442,5,2-08,2-08,0, ,181.828283392626
13,HARLE3, ,681,Harley St,HARLEY ST,1,PUBLIC WAY, ,LO,0,0,681,4,3-07,3-07,1, ,280.917708132319
14,COMO 1, ,2079,Como Rd,COMO RD,1,PUBLIC WAY, ,LO,0,0,2079,5,2-08,2-08,0, ,855.033006530386
15,HARLE4, ,142,Harlem Pl,HARLEM PL,1,PRIVATE WAY, ,LO,0,0,142,2,1-1C,1-1C,0, ,58.6396219618763
16,ERIE 1, ,1681,Erie St,ERIE ST DO,1,PUBLIC WAY, ,CO,0,0,1681,4,3-03,3-03,0, ,692.401403729058
17,HARLO1, ,578,Harlow St,HARLOW ST,1,PUBLIC WAY, ,LO,0,0,578,7,3-03,3-03,1, ,238.214648736472
18,CONAN1, ,139,Conant Pl,CONANT PL,1,PRIVATE WAY, ,LO,0,0,139,7,1-10B,1-10B,1, ,57.4038450274079
19,ABBOT1, ,755,Abbotsford St,ABBOTSFORD ST,1,PUBLIC WAY, ,LO,0,0,755,7,1-10B,1-10B,1, ,310.717257958109
20,HARMO1, ,887,Harmon St,HARMON ST,1,PUBLIC WAY, ,LO,0,0,887,5,2-08,2-08,0, ,365.72867995929
21,ERIE 2, ,246,Erie Pl,ERIE PL,1,PRIVATE WAY, ,LO,0,0,246,7,2-02,2-02,0, ,101.289397861041
22,CONCO1, ,601,Concord Ave,CONCORD AV,1,PRIVATE WAY, ,LO,0,0,601,1,1-1A,1-1A,0, ,247.658090206083
23,ABBOT2, ,891,Abbot St,ABBOT ST,1,PUBLIC WAY, ,LO,0,0,891,4,3-03,3-03,1, ,367.514868933329
