FID,PARENT,STATUS,LENGTH,GREENBOOK,HIGHWAY,GIS,JURISDICTI,QC_NOTE,FUN_CLASS,GRID,MIN_STATIO,MAX_STATIO,COUNCIL,DISTRICT1,District,NO_LABEL,RTE_SYS_ED,Shape__Length
24,BOSWE1, ,309,Boswell Ln,BOSWELL LN,1,PRIVATE WAY, ,LO,0,0,309,1,1-1A,1-1A,0, ,127.614926384594
25,ERNES1, ,843,Ernest Ave,ERNEST AV,1,PUBLIC WAY, ,LO,0,0,843,5,2-08,2-08,1, ,347.754746279562
26,HARMO2, ,257,Harmony St,HARMONY ST,1,PUBLIC WAY/PRIVATE WAY, ,LO,0,0,257,1,1-09,1-09,0, ,106.342458405879
27,CONCO2, ,773,Concord Sq,CONCORD SQ,1,PUBLIC WAY, ,LO,0,0,773,7,1-1C,1-1C,1, ,319.147769907559
28,ABBY 1, ,252,Abby Rd,ABBY RD,1,PUBLIC WAY, ,LO,0,0,252,9,2-04,2-04,0, ,103.871907020899
29,HAROL1, ,1630,Harold St,HAROLD ST S,1,PUBLIC WAY, ,LO,0,0,1630,7,1-10B,1-10B,1, ,672.714440547297
30,ERNST1, ,352,Ernst St,ERNST ST,1,PUBLIC WAY, ,LO,0,0,352,6,1-10B,1-10B,0, ,145.108286310574
31,BOSWO1, ,317,Bosworth St,BOSWORTH ST,1,PUBLIC WAY/PRIVATE WAY, ,LO,0,0,317,1,1-1C,1-1C,1, ,130.780106737208
32,CONCO3, ,453,Concord St,CONCORD ST,1,PUBLIC WAY, ,LO,0,0,453,1,1-1A,1-1A,0, ,187.207544468026
33,ABERD1, ,418,Aberdeen St,ABERDEEN ST,1,PUBLIC WAY, ,LO,0,0,418,8,1-10A,1-10A,1, ,166.991802487363
34,ERROL1, ,247,Errol St,ERROL ST,1,PRIVATE WAY, ,LO,0,0,247,4,3-07,3-07,1, ,101.568009142937
35,CONCO4, ,254,Concord Pl,CONCORD PL,1,PRIVATE WAY, ,LO,0,0,254,7,1-1C,1-1C,0, ,104.589128699318
36,HAROL2, ,1392,Harold St,HAROLD ST N,1,PUBLIC WAY, ,LO,0,0,1392,7,1-10B,1-10B,1, ,574.391763921341
37,CONDO1, ,3541,Condor St,CONDOR ST,1,PUBLIC WAY, ,AR,0,0,3541,1,1-09,1-09,1, ,1459.74542805868
38,ESKRI1, ,205,Eskridge St,ESKRIDGE ST,1,PRIVATE WAY, ,LO,0,0,205,4,3-07,3-07,0, ,84.2650707566196
39,BOTHW1, ,683,Bothwell Rd,BOTHWELL RD,1,PUBLIC WAY, ,LO,0,0,683,9,2-04,2-04,0, ,281.30987811202
40,ACACI1, ,312,Acacia Rd,ACACIA RD,1,PUBLIC WAY, ,LO,0,0,312,6,2-06,2-06,0, ,128.624878056683
41,BOULE1, ,520,Boulevard Ter,BOULEVARD TER,1,PUBLIC WAY, ,LO,0,0,520,9,2-04,2-04,0, ,214.106629005596
42,CONGR1, ,7388,Congress St,CONGRESS ST,1,PUBLIC WAY, ,AR,0,0,8244,1,"1-1B, 3-05","1-1B, 3-05",1, ,3047.31955705373
43,ACADE1, ,151,Academy Ct,ACADEMY CT,1,PUBLIC WAY, ,LO,0,0,151,7,1-10B,1-10B,0, ,62.4036091546197
44,HAROL3, ,103,Harold Park,HAROLD PK,1,PUBLIC WAY, ,LO,0,0,103,7,1-10B,1-10B,0, ,42.3610597918055
45,ESMON1, ,1556,Esmond St,ESMOND ST,1,PUBLIC WAY, ,LO,0,0,1556,4,3-03,3-03,0, ,641.772750368708
46,CONGR2, ,1460,Congreve St,CONGREVE ST,1,PUBLIC WAY, ,LO,0,0,1460,5,2-06,2-06,1, ,601.610017045306
47,HARRI1, ,1337,Harriet St,HARRIET ST,1,PUBLIC WAY, ,LO,0,0,1337,9,2-04,2-04,1, ,550.504151833586
48,BOURN1, ,784,Bournedale Rd,BOURNEDALE RD,1,PUBLIC WAY, ,LO,0,0,784,6,2-02,2-02,0, ,322.762672354456
49,ACADE2, ,1704,Academy Hill Rd,ACADEMY HILL RD,1,PUBLIC WAY/PRIVATE WAY, ,LO,0,0,1704,9,2-04,2-04,0, ,703.950376847915
50,ESSEX1, ,627,Essex St,ESSEX ST CH,1,PUBLIC WAY, ,AR,0,0,627,1,1-1A,1-1A,0, ,258.684402632846
51,CONIS1, ,710,Coniston Rd,CONISTON RD,1,PUBLIC WAY, ,LO,0,0,710,5,2-06,2-06,1, ,292.592192018211
52,HARRI10, ,59,Harrison Pl,HARRISON PL,1,PRIVATE WAY, ,LO,0,0,59,1,1-1A,1-1A,0, ,24.4903786943084
53,BOURN2, ,2757,Bourne St,BOURNE ST,1,PUBLIC WAY, ,CO,0,0,2757,6,2-02,2-02,1, ,1137.25933627531
54,ACADE3, ,671,Academy Rd,ACADEMY RD,1,PUBLIC WAY, ,LO,0,0,671,7,1-10B,1-10B,1, ,276.391073295164
55,ACADE4, ,146,Academy Ter,ACADEMY TER,1,PUBLIC WAY, ,LO,0,0,146,7,1-10B,1-10B,1, ,60.336981941159
56,ACADI1, ,300,Acadia St,ACADIA ST,1,PUBLIC WAY, ,LO,0,0,300,2,3-05,3-05,0, ,124.139725487574
57,ACCOL1, ,184,Accolon Way,ACCOLON WAY,1,PRIVATE WAY, ,LO,0,0,184,8,1-1B,1-1B,1, ,75.7916341025805
58,ACHOR1, ,165,Achorn Cir,ACHORN CIR,1,PRIVATE WAY, ,LO,0,0,165,6,2-02,2-02,1, ,67.7200667632779
59,ACKLE1, ,240,Ackley Pl,ACKLEY PL,1,PUBLIC WAY, ,LO,0,0,240,6,2-02,2-02,1, ,98.9380945629175
60,ACORN1, ,256,Acorn St,ACORN ST,1,PRIVATE WAY, ,LO,0,0,256,8,1-1B,1-1B,1, ,105.478360549454
61,ACTON1, ,241,Acton St,ACTON ST,1,PRIVATE WAY, ,LO,0,0,241,5,2-08,2-08,0, ,99.1888471341772
62,ADA S1, ,489,Ada St,ADA ST,1,PRIVATE WAY, ,LO,0,0,489,5,2-06,2-06,0, ,201.514718362129
63,ADAIR1, ,546,Adair Rd,ADAIR RD,1,PUBLIC WAY, ,LO,0,0,546,9,2-04,2-04,0, ,225.869801584787
64,ADAM10, ,63,Adams Pl,ADAMS PL BP,1,PRIVATE WAY, ,LO,0,0,63,2,3-05,3-05,0, ,26.1191032784048
65,ADAMS1, ,10499,Adams St,ADAMS ST DO N,1,PUBLIC WAY, ,AR,0,0,10499,3,"3-03, 3-07","3-03, 3-07",1, ,4333.2268382638
66,ADAMS4, ,209,Adams Ter,ADAMS TER,1,PRIVATE WAY, ,LO,0,0,209,3,3-07,3-07,0, ,85.9301438964394
67,ADAMS5, ,1142,Adams St,ADAMS ST RX,1,PUBLIC WAY, ,CO,0,0,1142,7,1-10B,1-10B,0, ,470.997789638296
68,ADAMS6, ,1196,Adamson St,ADAMSON ST,1,PUBLIC WAY, ,LO,0,0,1196,9,2-04,2-04,1, ,492.805216763156
69,ADAMS7, ,5333,Adams St,ADAMS ST DO S,1,PUBLIC WAY, ,AR,0,0,5333,3,3-07,3-07,0, ,2199.10792848118
70,ADAMS9, ,645,Adams St,ADAMS ST CH,1,PUBLIC WAY, ,LO,0,0,645,1,1-1A,1-1A,1, ,265.946498714685
71,ADANA1, ,231,Adanac Ter,ADANAC TER,1,PUBLIC WAY, ,LO,0,0,231,3,3-07,3-07,0, ,95.1521810403413
72,ADDIN1, ,1704,Addington Rd,ADDINGTON RD,1,PUBLIC WAY, ,CO,0,0,1704,6,2-06,2-06,0, ,703.135294413393
73,ADDIS1, ,1451,Addison St,ADDISON ST,1,PUBLIC WAY, ,CO,0,0,1451,1,1-09,1-09,0, ,598.167382364189
74,ADELA1, ,673,Adelaide St,ADELAIDE ST,1,PUBLIC WAY, ,LO,0,0,673,6,2-02,2-02,0, ,278.052731465675
75,ADELA2, ,123,Adelaide Ter,ADELAIDE TER,1,PRIVATE WAY, ,LO,0,0,123,6,2-02,2-02,0, ,50.8209881670512
76,ADELL1, ,98,Adella Pl,ADELLA PL,1,PRIVATE WAY, ,LO,0,0,98,9,2-04,2-04,1, ,40.587702183071
77,ADIRO1, ,116,Adirondack Pl,ADIRONDACK PL,1,PRIVATE WAY, ,LO,0,0,116,3,3-07,3-07,0, ,47.598046446024
78,ADMIR1, ,102,Admiral Ct,ADMIRAL CT,1,PRIVATE WAY, ,LO,0,0,102,2,3-05,3-05,0, ,42.0524960908024
79,ADRIA1, ,277,Adrian St,ADRIAN ST,1,PRIVATE WAY, ,LO,0,0,277,7,3-03,3-03,0, ,114.192197197094
80,AGASS1, ,260,Agassiz Park,AGASSIZ PK,1,PUBLIC WAY, ,LO,0,0,260,6,2-02,2-02,0, ,107.207486547481
81,AGASS2, ,873,Agassiz Rd,AGASSIZ RD,1,DCR, ,LO,0,0,873,8,1-10A,1-10A,0, ,359.385041526402
82,AGAWA1, ,429,Agawam St,AGAWAM ST,1,PUBLIC WAY, ,LO,0,0,429,3,3-07,3-07,1, ,176.660076628018
83,AGNES1, ,250,Agnes Ave,AGNES AV,1,PRIVATE WAY, ,LO,0,0,250,5,2-08,2-08,0, ,103.177273629676
84,AGUAD1, ,933,Aguadilla St,AGUADILLA ST,1,PUBLIC WAY, ,LO,0,0,933,2,1-1C,1-1C,0, ,384.735199732774
85,AINSL1, ,242,Ainsley St,AINSLEY ST,1,PUBLIC WAY, ,LO,0,0,242,3,3-07,3-07,1, ,100.000403894323
86,AINSW1, ,1183,Ainsworth St,AINSWORTH ST,1,PUBLIC WAY, ,LO,0,0,1183,6,2-06,2-06,1, ,487.864831636353
87,AINSW2, ,360,Ainsworth Street Fw,AINSWORTH ST FW,1,PUBLIC WAY, ,LO,0,0,360,5,2-06,2-06,0, ,148.45803761915
88,AKRON1, ,610,Akron St,AKRON ST,1,PUBLIC WAY, ,LO,0,0,610,7,1-10B,1-10B,0, ,251.240963525381
89,AKRON2, ,127,Akron Pl,AKRON PL,1,PRIVATE WAY, ,LO,0,0,127,7,1-10B,1-10B,0, ,52.4633452879117
90,AL ZW1, ,110,Al Zwiercan Way,AL ZWIERCAN WAY,1,PUBLIC WAY,FORMERLY POWER ST,LO,0,0,110,2,3-03,3-03,1, ,45.228281316955
91,ALABA2, ,3502,Alabama St,ALABAMA ST,1,PUBLIC WAY/PRIVATE WAY, ,LO,0,0,3502,5,"2-08, 3-07","2-08, 3-07",1, ,1443.89710233624
92,ALADD1, ,114,Aladdin Ct,ALADDIN CT,1,PRIVATE WAY, ,LO,0,0,114,9,2-04,2-04,0, ,46.9976126727974
93,ALAME1, ,486,Alameda Rd,ALAMEDA RD,1,PUBLIC WAY, ,LO,0,0,486,6,2-06,2-06,1, ,200.105495508955
94,ALARI1, ,735,Alaric St,ALARIC ST,1,PUBLIC WAY, ,LO,0,0,735,6,2-06,2-06,0, ,302.734356139045
95,ALARI2, ,185,Alaric Ter,ALARIC TER,1,PRIVATE WAY, ,LO,0,0,185,6,2-06,2-06,0, ,76.2136021532833
96,ALASK1, ,591,Alaska St,ALASKA ST,1,PUBLIC WAY, ,LO,0,0,591,7,"1-10B, 3-03","1-10B, 3-03",0, ,243.567694026578
97,ALBAN1, ,1419,Alban St,ALBAN ST,1,PUBLIC WAY, ,LO,0,0,1419,4,3-07,3-07,0, ,585.789066312422
98,ALBAN2, ,1526,Albano St,ALBANO ST,1,PUBLIC WAY, ,CO,0,0,1526,5,2-06,2-06,0, ,628.801837831353
99,ALBAN3, ,7899,Albany St,ALBANY ST,1,PUBLIC WAY, ,AR,0,0,7899,2,"1-10B, 1-1C","1-10B, 1-1C",0, ,3259.22299973156
100,ALBEM1, ,279,Albemarle St,ALBEMARLE ST BP,1,PUBLIC WAY, ,LO,0,0,279,7,1-1C,1-1C,1, ,115.006917522945
101,ALBEM2, ,492,Albemarle St,ALBEMARLE ST HP,1,PRIVATE WAY, ,LO,0,0,492,5,2-08,2-08,0, ,202.324801557269
102,ALBEM3, ,153,Albemarle Ct,ALBEMARLE CT,1,PRIVATE WAY, ,LO,0,0,153,5,2-08,2-08,0, ,63.0842605073019
103,ALBEM4, ,106,Albemarle Ter,ALBEMARLE TER,1,PRIVATE WAY, ,LO,0,0,106,7,1-1C,1-1C,1, ,43.7172069875411
104,ALBER1, ,1083,Albert St,ALBERT ST,1,BHA, ,LO,0,0,1083,8,1-10A,1-10A,1, ,446.893623383601
105,ALBER2, ,561,Alberta St,ALBERTA ST,1,PUBLIC WAY, ,LO,0,0,561,6,2-06,2-06,0, ,231.373297173878
106,ALBIO1, ,383,Albion Pl,ALBION PL,1,PUBLIC WAY, ,LO,0,0,383,1,1-1A,1-1A,1, ,158.183089482159
107,ALBIO2, ,689,Albion St,ALBION ST HP,1,PUBLIC WAY, ,LO,0,0,689,5,2-08,2-08,1, ,284.127721256256
108,ALBIO3, ,531,Albion St,ALBION ST DO,1,PUBLIC WAY, ,LO,0,0,531,7,3-03,3-03,0, ,218.73620953115
109,ALBRI1, ,411,Albright St,ALBRIGHT ST,1,PUBLIC WAY, ,LO,0,0,411,6,2-06,2-06,0, ,169.469572049124
110,ALCOR1, ,715,Alcorn St,ALCORN ST,1,PUBLIC WAY, ,LO,0,0,715,9,2-04,2-04,0, ,295.55128776254
111,ALCOT1, ,526,Alcott St,ALCOTT ST,1,PUBLIC WAY, ,LO,0,0,526,9,2-04,2-04,0, ,216.742276169606
112,ALDER1, ,517,Alder St,ALDER ST,1,PRIVATE WAY, ,LO,0,0,517,5,2-06,2-06,1, ,213.17967713221
113,ALDIE1, ,1088,Aldie St,ALDIE ST,1,PUBLIC WAY, ,LO,0,0,1088,9,2-04,2-04,1, ,448.307146521093
114,ALDO 1, ,256,Aldo Ter,ALDO TER,1,PRIVATE WAY, ,LO,0,0,256,5,2-08,2-08,0, ,105.254649794594
115,ALDRI1, ,2267,Aldrich St,ALDRICH ST,1,PUBLIC WAY, ,LO,0,0,2267,5,2-06,2-06,0, ,934.492639424951
116,ALDWI1, ,209,Aldwin Rd,ALDWIN RD,1,PUBLIC WAY, ,LO,0,0,209,5,2-02,2-02,0, ,85.9977736480062
117,ALDWO1, ,846,Aldworth St,ALDWORTH ST,1,PUBLIC WAY, ,LO,0,0,846,6,2-02,2-02,1, ,349.314015239231
118,ALEXA1, ,2182,Alexander St,ALEXANDER ST,1,PUBLIC WAY, ,LO,0,0,2182,7,3-03,3-03,1, ,900.977126854168
119,ALFOR1, ,4116,Alford St,ALFORD ST CH,1,PUBLIC WAY, ,AR,0,0,4116,1,1-1A,1-1A,0, ,1700.9995753142
120,ALFRE1, ,162,Alfred St,ALFRED ST,1,PUBLIC WAY, ,LO,0,0,162,6,2-02,2-02,0, ,66.9482878897565
121,ALGER1, ,1011,Alger St,ALGER ST,1,PUBLIC WAY/PRIVATE WAY, ,LO,0,0,1011,2,3-05,3-05,0, ,416.277691059843
122,ALGON1, ,858,Algonquin St,ALGONQUIN ST,1,PUBLIC WAY, ,LO,0,0,858,4,3-03,3-03,1, ,353.299437466264
123,ALHAM1, ,521,Alhambra Rd,ALHAMBRA RD,1,PUBLIC WAY, ,LO,0,0,521,6,2-06,2-06,1, ,214.457994148048
124,ALICI1, ,956,Alicia Rd,ALICIA RD,1,PUBLIC WAY, ,LO,0,0,956,3,3-07,3-07,0, ,394.571514310667
125,ALKYR1, ,383,Alkyris Rd,ALKYRIS RD,1,PRIVATE WAY, ,LO,0,0,383,6,2-06,2-06,0, ,158.039689911445
126,ALLEG1, ,1018,Alleghany St,ALLEGHANY ST,1,PUBLIC WAY/PRIVATE WAY, ,LO,0,0,1018,8,1-10A,1-10A,1, ,419.670876539518
127,ALLEN1, ,266,Allen's Aly,ALLENS ALLEY,1,PRIVATE WAY, ,LO,0,0,266,2,1-1C,1-1C,1, ,109.741540259076
128,ALLEN3, ,538,Allenwood St,ALLENWOOD ST,1,PUBLIC WAY, ,LO,0,0,538,6,2-06,2-06,0, ,221.514851626474
129,ALLEN4, ,387,Allen Rd,ALLEN RD,1,PRIVATE WAY, ,LO,0,0,387,9,2-04,2-04,0, ,159.838156227926
130,ALLEN5, ,258,Allen St,ALLEN ST HP,1,PRIVATE WAY, ,LO,0,0,258,5,2-08,2-08,0, ,106.226592569339
131,ALLEN6, ,389,Allen St,ALLEN ST WR,1,PRIVATE WAY, ,LO,0,0,389,5,2-02,2-02,0, ,160.04637224084
132,ALLER1, ,1221,Allerton St,ALLERTON ST,1,PUBLIC WAY, ,LO,0,0,1221,7,"1-10B, 3-03","1-10B, 3-03",0, ,503.672502449849
133,ALLEY1, ,768,Alleyne St,ALLEYNE ST,1,PUBLIC WAY, ,LO,0,0,768,6,2-06,2-06,0, ,316.761795210935
134,ALLST1, ,201,Allstate Rd,ALLSTATE RD,1,PUBLIC WAY, ,LO,0,0,201,2,3-03,3-03,0, ,83.0124445350784
135,ALLST2, ,4204,Allston St,ALLSTON ST BR,1,PUBLIC WAY, ,CO,0,0,4204,9,2-04,2-04,0, ,1736.07893665939
136,ALLST3, ,1032,Allston St,ALLSTON ST DO,1,PUBLIC WAY, ,LO,0,0,1032,4,3-07,3-07,0, ,425.919418722903
137,ALLST4, ,687,Allston St,ALLSTON ST CH,1,PUBLIC WAY, ,LO,0,0,687,1,1-1A,1-1A,0, ,283.830589243499
138,ALLST5, ,138,Allston Sq,ALLSTON SQ,1,PRIVATE WAY, ,LO,0,0,138,9,2-04,2-04,0, ,57.0294718312157
139,ALMON1, ,3083,Almont St,ALMONT ST,1,PUBLIC WAY, ,AR,0,0,3083,5,3-07,3-07,1, ,1271.34263120114
140,ALMY 1, ,760,Almy St,ALMY ST (MTA),1,MTA, ,LO,0,0,760,9,2-04,2-04,0, ,313.325133725719
141,ALNA 1, ,171,Alna Pl,ALNA PL,1,PRIVATE WAY, ,LO,0,0,171,1,1-09,1-09,0, ,70.7658814717991
142,ALPHA1, ,966,Alpha Rd,ALPHA RD,1,PUBLIC WAY, ,LO,0,0,966,4,3-07,3-07,0, ,397.945468826139
143,ALPHE1, ,1175,Alpheus Rd,ALPHEUS RD,1,PUBLIC WAY, ,CO,0,0,1175,5,2-08,2-08,0, ,484.480018794849
144,ALPIN1, ,977,Alpine St,ALPINE ST WR,1,PUBLIC WAY, ,LO,0,0,977,7,1-10B,1-10B,0, ,403.223763897906
145,ALPIN3, ,198,Alpine Pl,ALPINE PL,1,PRIVATE WAY, ,LO,0,0,198,7,1-10B,1-10B,0, ,81.6389455145851
146,ALPIN4, ,581,Alpine Way,ALPINE WAY,1,PRIVATE WAY, ,LO,0,0,581,3,3-03,3-03,0, ,239.525583074004
147,ALPIN5, ,557,Alpine St,ALPINE ST HP,1,PRIVATE WAY, ,LO,0,0,557,5,2-08,2-08,1, ,229.217005754154
148,ALTAC1, ,296,Altacrest Rd,ALTACREST RD,1,PUBLIC WAY, ,LO,0,0,296,6,2-06,2-06,0, ,121.6659929286
149,ALTAI1, ,403,Altair Rd,ALTAIR RD,1,PRIVATE WAY, ,LO,0,0,403,6,2-06,2-06,0, ,165.874261986947
150,ALTHE1, ,334,Althea St,ALTHEA ST,1,PUBLIC WAY, ,LO,0,0,334,3,3-07,3-07,1, ,137.88321373543
151,ALTHE2, ,285,Alther St,ALTHER ST,1,PUBLIC WAY, ,LO,0,0,285,7,1-10B,1-10B,1, ,117.171187864835
152,ALTON1, ,559,Alton Ct,ALTON CT,1,PRIVATE WAY, ,LO,0,0,559,8,1-10A,1-10A,0, ,230.765840113962
153,ALVAH1, ,99,Alvah Kittredge St,ALVAH KITTREDGE PK,1,PUBLIC WAY, ,LO,0,0,99,7,1-10B,1-10B,1, ,40.8969416342662
154,ALVAN1, ,211,Alvan Ter,ALVAN TER,1,PUBLIC WAY, ,LO,0,0,211,7,3-03,3-03,0, ,86.9729848055787
155,ALVAR1, ,562,Alvarado Ave,ALVARADO AV,1,PUBLIC WAY, ,LO,0,0,562,5,2-08,2-08,1, ,231.087821554148
156,ALVES1, ,924,Alveston St,ALVESTON ST,1,PUBLIC WAY, ,LO,0,0,924,6,2-02,2-02,0, ,381.381885868614
157,ALVES3, ,178,Alveston Ter,ALVESTON TER,1,PRIVATE WAY, ,LO,0,0,178,6,2-02,2-02,0, ,73.4868734746344
158,ALWAR1, ,475,Alward Rd,ALWARD RD,1,PUBLIC WAY, ,LO,0,0,475,6,2-06,2-06,0, ,196.219818485684
159,ALWIN1, ,1476,Alwin St,ALWIN ST,1,PUBLIC WAY, ,LO,0,0,1476,5,2-08,2-08,0, ,607.481181940704
160,AMBOY1, ,201,Amboy St,AMBOY ST,1,PUBLIC WAY, ,LO,0,0,201,9,2-04,2-04,1, ,82.7003820319892
161,AMBRO1, ,460,Ambrose St,AMBROSE ST,1,PUBLIC WAY, ,LO,0,0,460,7,1-10B,1-10B,0, ,189.428268779999
162,AMERI1, ,14162,American Legion Hwy,AMERICAN LEG HWY NB,1,PUBLIC WAY, ,AR,0,0,14162,5,"2-02, 2-08, 3-03, 3-07","2-02, 2-08, 3-03, 3-07",0, ,5836.7229899703
163,AMERI2, ,14209,American Legion Hwy,AMERICAN LEG HWY SB,1,PUBLIC WAY, ,AR,0,0,14209,5,"2-02, 2-08, 3-03, 3-07","2-02, 2-08, 3-03, 3-07",0, ,5856.10093957504
164,AMES 1, ,1606,Ames St,AMES ST,1,PUBLIC WAY, ,LO,0,0,1606,4,3-07,3-07,1, ,661.390948650796
165,AMESB1, ,294,Amesbury St,AMESBURY ST,1,PUBLIC WAY/PRIVATE WAY, ,LO,0,0,294,6,2-06,2-06,0, ,121.193272609259
166,AMHER1, ,607,Amherst St,AMHERST ST,1,PUBLIC WAY, ,LO,0,0,607,5,2-06,2-06,1, ,250.319943406725
167,AMORE1, ,198,Amoret Rd,AMORET RD,1,PRIVATE WAY, ,LO,0,0,198,6,2-06,2-06,0, ,81.4660755350267
168,AMORY1, ,405,Amory Ave,AMORY AV,1,PUBLIC WAY, ,LO,0,0,405,6,1-10B,1-10B,0, ,166.787597440856
169,AMORY2, ,6191,Amory St,AMORY ST,1,PUBLIC WAY, ,AR,0,0,6191,6,"1-10B, 2-02","1-10B, 2-02",0, ,2555.29448547796
170,AMORY3, ,326,Amory Ter,AMORY TER,1,PRIVATE WAY, ,LO,0,0,326,6,1-10B,1-10B,0, ,134.309770998982
171,AMY C1, ,184,Amy Ct,AMY CT,1,PUBLIC WAY, ,LO,0,0,184,8,1-1B,1-1B,0, ,75.9955290920181
172,ANAWA1, ,2006,Anawan Ave,ANAWAN AV,1,PUBLIC WAY, ,LO,0,0,2006,6,2-06,2-06,0, ,827.073321667552
173,ANAWA2, ,148,Anawan Ter,ANAWAN TER,1,PUBLIC WAY, ,LO,0,0,148,5,2-06,2-06,1, ,60.9157537995306
174,ANCHO1, ,327,Anchor Way,ANCHOR WAY,1,PRIVATE WAY, ,LO,0,0,327,2,3-05,3-05,0, ,135.196092581467
175,ANDER1, ,819,Anderson St,ANDERSON ST,1,PUBLIC WAY, ,LO,0,0,819,8,1-1B,1-1B,1, ,338.496706544445
176,ANDER2, ,646,Anderer Ln,ANDERER LN,1,PRIVATE WAY, ,LO,0,0,646,6,2-06,2-06,0, ,265.949972968691
177,ANDER3, ,79,Anderson Pl,ANDERSON PL,1,PUBLIC WAY, ,LO,0,0,79,8,1-1B,1-1B,1, ,32.585921887597
178,ANDOV1, ,320,Andover Rd,ANDOVER RD,1,PUBLIC WAY, ,LO,0,0,320,6,2-06,2-06,1, ,131.871748615402
179,ANDRE1, ,250,Andrews St,ANDREWS ST,1,PUBLIC WAY, ,LO,0,0,250,2,1-1C,1-1C,0, ,103.07109992892
180,ANDRE2, ,1270,Andrew P McArdle Brdg,ANDREW MCARDLE BRIDGE,1,PUBLIC WAY, ,LO,0,0,1270,1,1-09,1-09,0, ,525.346937283348
181,ANDRE4, ,454,Andrews Pl,ANDREWS PL,1,PRIVATE WAY, ,LO,0,0,454,2,1-1C,1-1C,0, ,187.402919274895
182,ANDRI1, ,200,Andria Rd,ANDRIA RD,1,PUBLIC WAY, ,LO,0,0,200,5,2-08,2-08,0, ,82.1538429098003
183,ANGEL1, ,912,Angell St,ANGELL ST,1,PUBLIC WAY, ,CO,0,0,912,4,"3-03, 3-07","3-03, 3-07",1, ,376.13959214065
