Neighborhood,Street,Address_1,Address_2,Intersection,From,To,Permittee,Contractor,Permit,Project_Category,Construction_Notes,Work_Schedule,ExpirationDate,Estimated_Completion_Date,Roadway_Plates_In_Use,Sidewalk_Plates_In_Use,Status,Trench_Length,Contact_Number,NumberOfWorkZones,District
ROXBURY,TOWNSEND ST,205,,,,,National Grid,National Grid,EMER-1323849,EMERGENCY,Grade 1 Gas Leak,Days & Weekends,,,,,ONGOING SECTIONS TOPPED TO GRADE,,1-877-304 12,1,10B
ROXBURY,WALNUT AV,277,,,,,National Grid,National Grid,EMER-1323847,EMERGENCY,Grade 1 Gas Leak,Days & Weekends,,,,,ONGOING SECTIONS TOPPED TO GRADE,,1-877-304 12,1,10B
ROXBURY,MAYWOOD ST,29,,,,,Boston Water & Sewer Commission,Boston Water & Sewer Commi,EMER-1424065,EMERGENCY,Service Repair (Leak on Service),Days & Weekends,,,,,ONGOING SECTIONS TOPPED TO GRADE,,1-617-989 70,1,10B
ROXBURY,KEMBLE ST,67,,,,,National Grid,National Grid,EMER-1323852,EMERGENCY,Grade 1 Gas Leak,Days & Weekends,2023-01-19 00:00:00,2023-01-19 00:00:00,,,ONGOING SECTIONS TOPPED TO GRADE,,1-877-304 12,1,10B
ROXBURY,WALNUT AV,277,,,,,National Grid,National Grid,EMER-1323847,EMERGENCY,Grade 1 Gas Leak,Days & Weekends,2023-01-19 00:00:00,2023-01-19 00:00:00,,,ONGOING SECTIONS TOPPED TO GRADE,,877-304-1203,1,10B
ROXBURY,HARRISHOF ST,145,,,,,Verizon,Danella Line Co,EXCA-1429412,NEW CONDUIT AND/OR MAIN,INSTALLATION OF CONDUIT,Days & Weekends,2023-02-01 00:00:00,2023-02-01 00:00:00,,,ONGOING SECTIONS TOPPED TO GRADE,75,800-446-8946,1,10B
ROXBURY,WARREN ST,301,,,,,Verizon,Danella Line Co,EXCA-1431365,SERVICE,INSTALLATION OF CONDUIT,Days & Weekends,2023-02-01 00:00:00,2023-02-01 00:00:00,,,ONGOING SECTIONS TOPPED TO GRADE,36,800-446-8946,1,10B
ROXBURY,CENTRE ST,162,,,,,Comcast,P V Barone,EXCA-576354,MAINTENANCE,CASTING REPAIR,Days & Weekends,2023-04-15 00:00:00,2023-01-30 00:00:00,,,ONGOING SECTIONS TOPPED TO GRADE,,,1,10B
ROXBURY,HAROLD,188,,,,,Verizon,Danella Line Co,EXCA-1431083,NEW CONDUIT AND/OR MAIN,INSTALLATION OF CONDUIT,Days & Weekends,2023-02-01 00:00:00,2023-02-01 00:00:00,,,ONGOING SECTIONS TOPPED TO GRADE,183,800-446-8946,1,10B
ROXBURY,WALNUT AV,,,COBDEN,,,National Grid,National Grid,EMER-1323847,EMERGENCY,GAS LEAK REPAIR,Days & Weekends,2023-01-26 00:00:00,2023-01-24 00:00:00,,,ONGOING SECTIONS TOPPED TO GRADE,,877-304-1203,1,10B
ROXBURY,DALE ST,48,,,,,National Grid,National Grid,EMER-1323877,EMERGENCY,Grade 1 Gas Leak,Days & Weekends,2023-01-26 00:00:00,2023-01-26 00:00:00,,,ONGOING SECTIONS TOPPED TO GRADE,,877-304-1203,1,10B
ROXBURY,BLUE HILL AV,49,,,,,National Grid,National Grid,EMER-1323876,EMERGENCY,Grade 1 Gas Leak,Days & Weekends,2023-01-26 00:00:00,2023-01-26 00:00:00,,,ONGOING SECTIONS TOPPED TO GRADE,,877-304-1203,1,10B
ROXBURY,BLUE HILL AV,13,,,,,National Grid,National Grid,EMER-1323874,EMERGENCY,Grade 1 Gas Leak,Days & Weekends,2023-01-26 00:00:00,2023-01-26 00:00:00,,,ONGOING SECTIONS TOPPED TO GRADE,,877-304-1203,1,10B
ROXBURY,SOUTHAMPTON ST,22,70,BRADSTON ST,,,Verizon,Danella Line Co,EXCA-1433425,NEW CONDUIT AND/OR MAIN,INSTALLATION OF CONDUIT,Days & Weekends,2023-02-07 00:00:00,2023-02-07 00:00:00,,,ONGOING SECTIONS TOPPED TO GRADE,132,800-446-8946,1,10B
ROXBURY,CRAWFORD ST,40,,,,,National Grid,National Grid,EMER-1333309,EMERGENCY,Grade 1 Gas Leak,Days & Weekends,,,,,ONGOING SECTIONS TOPPED TO GRADE,,1-877-304 12,1,10B
ROXBURY,BLUE HILL AV,13,,,,,National Grid,National Grid,EMER-1323879,EMERGENCY,Grade 1 Gas Leak,Days & Weekends,,,,,ONGOING SECTIONS TOPPED TO GRADE,,1-877-304 12,1,10B
ROXBURY,MAGAZINE ST,,,,,,Eversource Electric,Eversource Electric,EMER-1160678,EMERGENCY,Emergency - Cable Replacement,Days & Weekends,,,,,ONGOING SECTIONS TOPPED TO GRADE,,1-800-592 20,1,10B
ROXBURY,DIMOCK ST,6,,,,,National Grid,National Grid,EMER-1333314,EMERGENCY,Grade 1 Gas Leak,Days & Weekends,2023-02-01 00:00:00,2023-02-01 00:00:00,,,ONGOING SECTIONS TOPPED TO GRADE,,1-877-304 12,1,10B
ROXBURY,TOWNSEND ST,205,,,,,National Grid,National Grid,EMER-1333312,EMERGENCY,Grade 1 Gas Leak,Days & Weekends,2023-02-01 00:00:00,2023-02-01 00:00:00,,,ONGOING SECTIONS TOPPED TO GRADE,,1-877-304 12,1,10B
ROXBURY,WARREN ST,320,,,,,National Grid,National Grid,EMER-1519120,EMERGENCY,Grade 1 Gas Leak,Days & Weekends,2023-02-01 00:00:00,2023-02-01 00:00:00,,1,PLATES BERMED,,1-877-304 12,1,10B
ROXBURY,MARTIN LUTHER KING J BLVD,300,,,,,Boston Water & Sewer Commission,Boston Water & Sewer Commi,EMER-1426150,EMERGENCY,Water Main Repair (Leak on Main),Days & Weekends,2023-02-01 00:00:00,2023-02-01 00:00:00,,,ONGOING SECTIONS TOPPED TO GRADE,,1-617-989 70,1,10B
ROXBURY,WASHINGTON ST,2937,,,,,National Grid,National Grid,EMER-1333316,EMERGENCY,Grade 1 Gas Leak,Days & Weekends,2023-02-01 00:00:00,2023-02-01 00:00:00,,,ONGOING SECTIONS TOPPED TO GRADE,,1-877-304 12,1,10B
ROXBURY,DEVON ST,79,,,,,Ronan 953 LLC,Ronan 953 LLC,EMER-,EMERGENCY,Sewer Repair (Broken Sewer),Days & Weekends,2023-02-01 00:00:00,2023-02-01 00:00:00,,,ONGOING SECTIONS TOPPED TO GRADE,,1-671-510 10,1,10B
ROXBURY,MAGNOLIA ST,127,,,,,Verizon,Danella Line Co,EXCA-1433593,NEW CONDUIT AND/OR MAIN,INSTALLATION OF CONDUIT,Days & Weekends,2023-02-07 00:00:00,2023-02-07 00:00:00,,,ONGOING SECTIONS TOPPED TO GRADE,100,800-446-8946,1,10B
ROXBURY,PEOPLE BAPTIST PL,4,,,,,Verizon,Danella Line Co,EXCA-1433413,NEW CONDUIT AND/OR MAIN,INSTALLATION OF CONDUIT,Days & Weekends,2023-02-07 00:00:00,2023-02-07 00:00:00,,,ONGOING SECTIONS TOPPED TO GRADE,110,800-446-8946,1,10B
ROXBURY,DIMOCK ST,11,,,,,National Grid,National Grid,EMER-1333325,EMERGENCY,Grade 1 Gas Leak,Days & Weekends,2023-02-01 00:00:00,2023-02-01 00:00:00,,,ONGOING SECTIONS TOPPED TO GRADE,,1-877-304 12,1,10B
ROXBURY,GREENVILLE ST,17,,,,,National Grid,National Grid,EMER-1333321,EMERGENCY,Grade 1 Gas Leak,Days & Weekends,,,,,ONGOING SECTIONS TOPPED TO GRADE,,1-877-304 12,1,10B
ROXBURY,DIMOCK ST,11,,,,,National Grid,National Grid,EMER-1333325,EMERGENCY,Grade 1 Gas Leak,Days & Weekends,,,,,ONGOING SECTIONS TOPPED TO GRADE,,1-877-304 12,1,10B
ROXBURY,GREENVILLE ST,17,,,,,National Grid,National Grid,EMER-1333321,EMERGENCY,Grade 1 Gas Leak,Days & Weekends,2023-02-01 00:00:00,2023-02-01 00:00:00,1,,PLATES PINNED & BERMED,,1-877-304 12,1,10B
ROXBURY,NORTHAMPTON ST,241,,,,,National Grid,National Grid,EMER-1333333,EMERGENCY,Grade 1 Gas Leak,Days & Weekends,2023-02-02 00:00:00,2023-02-04 00:00:00,1,,PLATES PINNED & BERMED,,1-877-304 12,1,10B
ROXBURY,SCHOOL ST,179,,,,,Boston Water & Sewer Commission,Boston Water & Sewer Commi,EMER-1426160,EMERGENCY,Dig in Doubt (Leak on Service),Days & Weekends,,,,,ONGOING SECTIONS TOPPED TO GRADE,,1-617-989 70,1,10B
ROXBURY,WARREN ST,516,,,,,National Grid,National Grid,EMER-1333330,EMERGENCY,Grade 1 Gas Leak,Days & Weekends,2023-02-02 00:00:00,2023-02-04 00:00:00,,,ONGOING SECTIONS TOPPED TO GRADE,,1-877-304 12,1,10B
ROXBURY,BLUE HILL AV,,,MORELAND ST,,,National Grid,National Grid,EMER-1520055,EMERGENCY,Grade 1 Gas Leak,Days & Weekends,2023-02-04 00:00:00,2023-02-08 00:00:00,,,ONGOING SECTIONS TOPPED TO GRADE,,1-877-304 12,1,10B
ROXBURY,CRAWFORD ST,63,,,,,Hercules C & G Drain,Hercules C & G Drain,EMER-000000,EMERGENCY,Sewer Repair (Broken Sewer),Days & Weekends,2023-02-07 00:00:00,2023-02-08 00:00:00,,,ONGOING SECTIONS TOPPED TO GRADE,,1-781-251 97,1,10B
ROXBURY,GREENVILLE ST,17,,,,,National Grid,National Grid,EMER-1333343,EMERGENCY,Gas Stoppage,Days & Weekends,2023-02-07 00:00:00,2023-02-08 00:00:00,,,ONGOING SECTIONS TOPPED TO GRADE,,1-877-304 12,1,10B
ROXBURY,WARREN ST,320,,,,,Galway Excavation,Galway Excavation,EMER-0000000,EMERGENCY,SEWER REPAIR,Days & Weekends,2023-02-08 00:00:00,2023-02-28 00:00:00,,,ONGOING SECTIONS TOPPED TO GRADE,,,1,10B
ROXBURY,TREMONT ST,950,,,,,Verizon,Danella Line Co,EXCA-1433421,NEW CONDUIT AND/OR MAIN,,Days & Weekends,2023-02-07 00:00:00,2023-02-07 00:00:00,,,,,800-446-8946,1,10B
ROXBURY,TREMONT ST,971,,,,,National Grid,National Grid,EXCA-1433609,MAINTENANCE,,Days & Weekends,2023-02-10 00:00:00,2023-02-10 00:00:00,,,,,877-304-1203,1,10B
ROXBURY,BLUE HILL AV,85,,,,,NATIONAL GRID,National Grid,EMER-1364982,EMERGENCY,Grade 1 Gas Leak,Days & Weekends,2023-02-15 00:00:00,2023-02-15 00:00:00,,,ONGOING SECTIONS TOPPED TO GRADE,,877-304-1203,1,10B
ROXBURY,WALNUT PK,8,,,,,National Grid,National Grid,EMER-1436391,EMERGENCY,Grade 1 Gas Leak,Days & Weekends,2023-02-15 00:00:00,2023-02-15 00:00:00,,,ONGOING SECTIONS TOPPED TO GRADE,,877-304-1203,1,10B
ROXBURY,NORTHAMPTON ST,222,,,,,Ronan 953 LLC,Ronan 953 LLC,EMER-0000000,EMERGENCY,SEWER REPAIR,Days & Weekends,2023-02-15 00:00:00,2023-02-15 00:00:00,1,,,,617-510-1013,1,10B
ROXBURY,ABBOTSFORD ST,22,,,,,Verizon,MPS,EXCA-1438027,NEW CONDUIT AND/OR MAIN,,Days & Weekends,2023-02-24 00:00:00,2023-02-24 00:00:00,,,ONGOING SECTIONS TOPPED TO GRADE,,800-446-8946,1,10B
ROXBURY,CRAWFORD ST,98,,,,,Boston Water & Sewer Commission,Metro Equipment Corp,EMER-1436397,EMERGENCY,Service Repair (Leak on Service),Days & Weekends,2023-02-15 00:00:00,2023-02-15 00:00:00,,,ONGOING SECTIONS TOPPED TO GRADE,,617-989-7000,1,10B
ROXBURY,COPELAND ST,,,LANGLY PARK,,,Boston Water & Sewer Commission,RJV Construction,EXCA-1433410,NEW CONDUIT AND/OR MAIN,INSTALLATION OF WATER MAIN,Days & Weekends,2023-03-24 00:00:00,2023-03-24 00:00:00,,,ONGOING SECTIONS TOPPED TO GRADE,210,617-989-7000,1,10B
ROXBURY,MORELAND ST,,,BLUE HILL AV,,,National Grid,National Grid,,,,Days & Weekends,2023-02-18 00:00:00,2023-02-23 00:00:00,5,,PLATES PINNED & BERMED,,877-304-1203,1,10B
ROXBURY,GENEVA AV,74,,,,,Boston Water & Sewer Commission,Boston Water & Sewer Commi,EMER-1436407,EMERGENCY,Leak Repair (Leak on Street),Days & Weekends,2023-02-22 00:00:00,2023-02-23 00:00:00,,,ONGOING SECTIONS TOPPED TO GRADE,,617-989-7000,1,10B
ROXBURY,WALNUT AV,291,,,,,National Grid,National Grid,EMER-1364997,EMERGENCY,Grade 1 Gas Leak,Days & Weekends,2023-02-22 00:00:00,2023-02-23 00:00:00,,,ONGOING SECTIONS TOPPED TO GRADE,,877-304-1203,1,10B
ROXBURY,LANGFORD PK,,,,,,Boston Water & Sewer Commission,RJV Construction,EXCA-1433410,NEW CONDUIT AND/OR MAIN,INSTALLATION OF WATER MAIN,Days & Weekends,2023-03-24 00:00:00,2023-03-24 00:00:00,,,ONGOING SECTIONS TOPPED TO GRADE,195,617-989-7000,1,10B
ROXBURY,LANGFORD PARK,,,,,,Boston Water & Sewer Commission,RJV Construction,EXCA-1433410,NEW CONDUIT AND/OR MAIN,INSTALLATION OF WATER MAIN,Days & Weekends,2023-03-24 00:00:00,2023-03-24 00:00:00,,,ONGOING SECTIONS TOPPED TO GRADE,210,617-989-7000,1,10B
ROXBURY,DUDLEY ST ,584,,,,,National Grid,National Grid,EMER-1365021,EMERGENCY,Grade 1 Gas Leak,Days & Weekends,,,,,ONGOING SECTIONS TOPPED TO GRADE,,877-304-1203,1,10B
ROXBURY,WARREN ST ,301,,,,,National Grid,National Grid,EMER-1365020,EMERGENCY,Grade 1 Gas Leak,Days & Weekends,,,,,ONGOING SECTIONS TOPPED TO GRADE,,877-304-1203,1,10B
MISSION HILL/FENWAY,ST ALPHONSUS ST,,,80-100 SMITH,,,Tascon Corp,Tascon Corp,EXCA-1432840,MAINTENANCE,CUT AND CAP,Days & Weekends,2023-03-08 00:00:00,2023-03-08 00:00:00,,,NO START,,,1,10A
MISSION HILL/FENWAY,BOYLSTON ST,1076,,,,,Boston Water & Sewer Commission,Metro Equipment Corp,EMER-1436425,EMERGENCY,Water Main Repair (Leak on Main),Days & Weekends,,,,,ONGOING SECTIONS TOPPED TO GRADE,,617-989-7000,1,10A
MISSION HILL/FENWAY,NEWBURY,555,,KENMORE,,,National Grid,National Grid,EXCA-1439960,MAINTENANCE,GAS LEAK REPAIR,Days & Weekends,2023-03-16 00:00:00,2023-03-16 00:00:00,,,ONGOING SECTIONS TOPPED TO GRADE,,877-304-1203,1,10A
MISSION HILL/FENWAY,JERSEY ST,24,,,,,Boston Public Works,Maverick Construction,EXCA-1437998,,Maintenance,Days & Weekends,2023-02-27 00:00:00,2023-02-27 00:00:00,,,ONGOING SECTIONS TOPPED TO GRADE,,857-472-0105,1,10A
MISSION HILL/FENWAY,HEATH ST,223,,,,,National Grid,National Grid,EXCA-1409809,,Maintenance,Days & Weekends,2023-03-16 00:00:00,2023-03-16 00:00:00,,,ONGOING SECTIONS TOPPED TO GRADE,,877-304-1203,1,10A
MISSION HILL/FENWAY,BOYLSTON ST,1111,,,,,National Grid,National Grid,EXCA-1439927,MAINTENANCE,GAS LEAK REPAIR,Days & Weekends,2023-03-15 00:00:00,2023-03-15 00:00:00,,,ONGOING SECTIONS TOPPED TO GRADE,,877-304-1203,1,10A
MISSION HILL/FENWAY,HEMENWAY ST,12,,,,,Boston Water & Sewer Commission,RJV Construction,EXCA-1381919,NEW CONDUIT AND/OR MAIN,ISNTALLATIN OF WATER MAINS,Days & Weekends,2023-03-08 00:00:00,2023-03-15 00:00:00,,,ONGOING SECTIONS TOPPED TO GRADE,,617-989-7000,1,10A
MISSION HILL/FENWAY,BOYLSTON ST,1090,,,,,National Grid,National Grid,EMER-1364990,EMERGENCY,Grade 1 Gas Leak,Days & Weekends,2023-02-16 00:00:00,2023-02-16 00:00:00,,,ONGOING SECTIONS TOPPED TO GRADE,,877-304-1203,1,10A
MISSION HILL/FENWAY,HEMENWAY ST,45,,,,,National Grid,National Grid,EMER1397118,EMERGENCY,Grade 1 Gas Leak,Days & Weekends,2023-02-15 00:00:00,2023-02-15 00:00:00,,,ONGOING SECTIONS TOPPED TO GRADE,,877-304-1203,1,10A
MISSION HILL/FENWAY,COMMONWEALTH AV,,,GRANBY ST,,,Eversource Electric,Riley Brothers,EMER-1358829,EMERGENCY,Emergency - Cable Repair,Days & Weekends,2023-02-10 00:00:00,2023-02-10 00:00:00,,,ONGOING SECTIONS TOPPED TO GRADE,,800-592-2000,1,10A
MISSION HILL/FENWAY,BAYSTATE RD,188,,,,,Verizon,Danella Line Co,EXCA-1436887,NEW CONDUIT AND/OR MAIN,,Days & Weekends,2023-02-24 00:00:00,2023-02-24 00:00:00,,,ONGOING SECTIONS TOPPED TO GRADE,,800-446-8946,1,10A
MISSION HILL/FENWAY,IPSWICH ST,174,,,,,Verizon,Danella Line Co,EXCA-1436846,NEW CONDUIT AND/OR MAIN,,Days & Weekends,2023-02-24 00:00:00,2023-02-24 00:00:00,,,ONGOING SECTIONS TOPPED TO GRADE,,800-446-8946,1,10A
MISSION HILL/FENWAY,BURNEY ST,8,,,,,Verizon,Danella Line Co,EXCA-1436825,NEW CONDUIT AND/OR MAIN,,Days & Weekends,2023-02-24 00:00:00,2023-02-24 00:00:00,,,,,800-446-8946,1,10A
MISSION HILL/FENWAY,HEMENWAY ST,118,,,,,A&R Excavating,A&R Excavating,EMER-000000,EMERGENCY,Sewer Repair (Broken Sewer),Days & Weekends,2023-02-09 00:00:00,2023-02-09 00:00:00,,,ONGOING SECTIONS TOPPED TO GRADE,,1-627-293 43,1,10A
MISSION HILL/FENWAY,IPSWICH ST,145,,,,,Eversource Electric,Eversource Electric,EMER-1358828,EMERGENCY,Emergency - Cable Replacement,Days & Weekends,2023-02-09 00:00:00,2023-02-09 00:00:00,,,ONGOING SECTIONS TOPPED TO GRADE,,1-800-592 20,1,10A
MISSION HILL/FENWAY,JERSEY ST,0,,,,,National Grid,Feeney Brothers Excavation,EXCA-1436855,NEW CONDUIT AND/OR MAIN,TEST PITS,Days & Weekends,2023-03-22 00:00:00,2023-03-22 00:00:00,,,ONGOING SECTIONS TOPPED TO GRADE,,877-304-1203,1,10A
MISSION HILL/FENWAY,BROOKLINE AV,132,,,,,Comcast,P V Barone,EMER-1397116,EMERGENCY,Casting Repair - Public Safety Concern,Days & Weekends,2023-02-04 00:00:00,2023-02-04 00:00:00,,,ONGOING SECTIONS TOPPED TO GRADE,,1-857-919 93,1,10A
MISSION HILL/FENWAY,HEMENWAY ST,15,,,,,Verizon,Danella Line Services Comp,EMER-1164614,EMERGENCY,Casting Repair - Public Safety Concern,Days & Weekends,2023-02-04 00:00:00,2023-02-04 00:00:00,,,ONGOING SECTIONS TOPPED TO GRADE,,1-800-446 89,1,10A
MISSION HILL/FENWAY,BOYLSTON ST,1088,1094,,,,Verizon,Danella Line Co,EXCA-1435180,SERVICE,INSTALLATION OF CONDUIT,Days & Weekends,2023-02-12 00:00:00,2023-02-12 00:00:00,,,ONGOING SECTIONS TOPPED TO GRADE,45,877-304-1203,1,10A
MISSION HILL/FENWAY,FRANCIS ST,70,,,,,Boston Water & Sewer Commission,Boston Water & Sewer Commi,EMER-1426414,EMERGENCY,Casting Repair - Public Safety Concern,Days & Weekends,2023-02-01 00:00:00,2023-02-01 00:00:00,,,ONGOING SECTIONS TOPPED TO GRADE,,1-617-989 70,1,10A
MISSION HILL/FENWAY,CALUMET ST,62,,,,,Keash Excavating Inc,Keash Excavating Inc,EMER-00000,EMERGENCY,Sewer Repair (Broken Sewer),Days & Weekends,2023-01-26 00:00:00,2023-01-26 00:00:00,,,ONGOING SECTIONS TOPPED TO GRADE,,857-231-1171,1,10A
MISSION HILL/FENWAY,NEWBURY ST,0,,KENMORE ST,,,Verizon,Danella Line Co,EXCA-1429411,NEW CONDUIT AND/OR MAIN,INSTALLATION OF CONDUIT,Days & Weekends,2023-02-01 00:00:00,2023-02-01 00:00:00,,,ONGOING SECTIONS TOPPED TO GRADE,55,800-446-8946,1,10A
MISSION HILL/FENWAY,HUNTINGTON AV,,,LONGWOOD,,,Murphy & Fahy,Murphy & Fahy,EMER-,EMERGENCY,CASTING REPAIR / PUBLIC SAFETY,Days & Weekends,2023-01-21 00:00:00,2023-01-21 00:00:00,,,ONGOING SECTIONS TOPPED TO GRADE,,,1,10A
MISSION HILL/FENWAY,BEACON ST,656,,,,,Extenet,NEECC,EXCA-1306167,NEW CONDUIT AND/OR MAIN,INSTALLATION OF CONDUIT,Days & Weekends,2023-01-29 00:00:00,2023-01-29 00:00:00,,,ONGOING SECTIONS TOPPED TO GRADE,156,781-974-7140,1,10A
MISSION HILL/FENWAY,HEATH ST,225,,,,,National Grid,Nationa Grid,EXCA-1409809,,GRADE 2 LEAK,Days & Weekends,2023-02-03 00:00:00,2023-02-03 00:00:00,2,,PLATES PINNED & BERMED,,877-304-1203,1,10A
MISSION HILL/FENWAY,HEATH ST,240,,,,,Boston Water & Sewer Commission,Boston Water & Sewer Commi,EMER-1424070,EMERGENCY,Water Main Repair (Leak on Main),Days & Weekends,2023-01-18 00:00:00,2023-01-18 00:00:00,,,ONGOING SECTIONS TOPPED TO GRADE,,617-989-7000,1,10A
MISSION HILL/FENWAY,BEACON ST,636,,,,,JF White,JF White,EXCA-1426007,SERVICE,INSTALLATION OF UTILITY SERVICES,Days & Weekends,2023-02-19 00:00:00,2023-02-07 00:00:00,,,ONGOING SECTIONS TOPPED TO GRADE,,,1,10A
MISSION HILL/FENWAY,LOUIS PRANG,,,EVANS ST,,,Comcast,P V Barone,EMER-1397115,EMERGENCY,Casting Repair - Public Safety Concern,Days & Weekends,2023-01-21 00:00:00,2023-01-21 00:00:00,,,ONGOING SECTIONS TOPPED TO GRADE,,1-857-919 93,1,10A
MISSION HILL/FENWAY,Peterborough St.,100,,,,,Eversource Electric,G Greene Construction,EMER-,EMERGENCY,Emergency - Cable Repair,Days & Weekends,2023-01-21 00:00:00,2023-01-21 00:00:00,,,ONGOING SECTIONS TOPPED TO GRADE,,1-800-592 20,1,10A
MISSION HILL/FENWAY,PARKER ST,617,,,,,Extenet Systems,Waveguide,EMER-000000,EMERGENCY,Service Outage,Days & Weekends,2023-01-13 00:00:00,2023-01-13 00:00:00,,,ONGOING SECTIONS TOPPED TO GRADE,,1-978-995 71,1,10A
MISSION HILL/FENWAY,St. Mary's St,90,,,,,Boston Water & Sewer Commission,Metro Equipment Corp,EMER-1424061,EMERGENCY,Service Relay (Leak on Street),Days & Weekends,2023-01-13 00:00:00,2023-01-13 00:00:00,,,ONGOING SECTIONS TOPPED TO GRADE,,1-617-989 70,1,10A
MISSION HILL/FENWAY,BOYLSTON ST,1295,,,,,Boston Water & Sewer Commission,Steven Companies,EMER-1424056,EMERGENCY,Casting Repair - Public Safety Concern,Days & Weekends,2023-01-13 00:00:00,2023-01-12 00:00:00,,,ONGOING SECTIONS TOPPED TO GRADE,,1-617-989 70,1,10A
