Neighborhood,Street,Address_1,Address_2,Intersection,From,To,Permittee,Contractor,Permit,Project_Category,Construction_Notes,Work_Schedule,ExpirationDate,Estimated_Completion_Date,Roadway_Plates_In_Use,Sidewalk_Plates_In_Use,Status,Trench_Length,Contact_Number,NumberOfWorkZones,District
ROXBURY,BLUE HILL AV,3,,,DUDLEY ST,WINTHROP ST,Boston Water & Sewer Commission,RJV Construction,EXCA-1363916,NEW CONDUIT AND/OR MAIN,INSTALLATION OF SEWER AND DRAIN MAINS,Days & Weekends,2023-03-30 00:00:00,2023-03-30 00:00:00,4,,PLATES RECESSED,635,617-989-7000,1,10B
ROXBURY,WALNUT AV,73,131,,,,National Grid,Feeney Brothers Excavation,EXCA-1181382,NEW CONDUIT AND/OR MAIN,INSTALLATION OF GAS MAIN,Days & Weekends,2022-12-23 00:00:00,2022-12-23 00:00:00,,,ONGOING SECTIONS TOPPED TO GRADE,713,877-304-1203,1,10B
ROXBURY,SHAWMUT AV,541,618,,,,National Grid,Feeney Brothers Excavation,EXCA-1391742,NEW CONDUIT AND/OR MAIN,INSTALLATION OF GAS MAIN,Days & Weekends,2023-03-17 00:00:00,2023-03-17 00:00:00,,,ONGOING SECTIONS TOPPED TO GRADE,915,877-304-1203,1,10B
ROXBURY,WINTHROP ST,111,,,,,Boston Water & Sewer Commission,RJV Construction,EXCA-1422223,NEW CONDUIT AND/OR MAIN,INSTALLATION OF DRAIN MAIN,Days & Weekends,2023-02-01 00:00:00,2023-01-20 00:00:00,,,ONGOING SECTIONS TOPPED TO GRADE,75,617-989-7000,1,10B
ROXBURY,MT PLEASANT AV,100,,,,,Keash Excavation,Keash Excavation,EXCA-1406360,SERVICE,,Days & Weekends,2023-01-20 00:00:00,2023-01-20 00:00:00,2,,PLATES PINNED & BERMED,,857-231-1171,1,10B
ROXBURY,KEMBLE ST,67,,,,,National Grid,National Grid,EMER-1323259,EMERGENCY,GRADE 1 LEAK,Days & Weekends,2023-01-15 00:00:00,2023-01-15 00:00:00,2,,PLATES PINNED & BERMED,,877-304-1203,1,10B
ROXBURY,WASHINGTON ST ,2875,,,,,National Grid,National Grid,EMER-1323270,EMERGENCY,Grade 1 Gas Leak,Days & Weekends,2023-01-06 00:00:00,2023-01-06 00:00:00,,,ONGOING SECTIONS TOPPED TO GRADE,,1-877-304 12,1,10B
ROXBURY,JOHN ELIOT SQ,44,,,,,Verizon,Danella Line Co,EXCA-1424787,MAINTENANCE,CONDUIT REPAIR,Days & Weekends,2023-02-01 00:00:00,2023-02-08 00:00:00,,,ONGOING SECTIONS TOPPED TO GRADE,,800-446-8946,1,10B
ROXBURY,WASHINGTON ST ,2693,,,,,National Grid,National Grid,EMER-1323269,EMERGENCY,Grade 1 Gas Leak,Days & Weekends,2023-01-07 00:00:00,2023-01-07 00:00:00,,,ONGOING SECTIONS TOPPED TO GRADE,,1-877-304 12,1,10B
ROXBURY,COBDEN ST,38,,,,,National Grid,National Grid,EXCA-1428705,MAINTENANCE,GAS LEAK REPAIR,Days & Weekends,2023-02-03 00:00:00,2023-02-03 00:00:00,2,,PLATES PINNED & BERMED,,877-304-1203,1,10B
ROXBURY,BLUE HILL AV,,,WINTHROP ST,,,National Grid,National Grid,EMER-1323829,EMERGENCY,Grade 1 Gas Leak,Days & Weekends,2023-01-13 00:00:00,2023-01-12 00:00:00,,,ONGOING SECTIONS TOPPED TO GRADE,,1-877-304 12,1,10B
ROXBURY,WARREN ST,140,,,,,National Grid,National Grid,EXCA-1428718,MAINTENANCE,GAS LEAK REPAIR,Days & Weekends,2023-02-03 00:00:00,2023-02-03 00:00:00,,,ONGOING SECTIONS TOPPED TO GRADE,,877-304-1203,1,10B
ROXBURY,KEMBLE ST,67,,,,,National Grid,National Grid,EMER-1323839,EMERGENCY,Grade 1 Gas Leak,Days & Weekends,2023-01-13 00:00:00,2023-01-12 00:00:00,,,ONGOING SECTIONS TOPPED TO GRADE,,1-877-304 12,1,10B
ROXBURY,BLUE HILL AV,49,,,,,National Grid,National Grid,EMER-1323838,EMERGENCY,Grade 1 Gas Leak,Days & Weekends,2023-01-13 00:00:00,2023-01-12 00:00:00,,,ONGOING SECTIONS TOPPED TO GRADE,,1-877-304 12,1,10B
ROXBURY,BLUE HILL AV,49,,,,,National Grid,National Grid,EMER-1323844,EMERGENCY,Grade 1 Gas Leak / EMER-1323838,Days & Weekends,2023-01-13 00:00:00,2023-01-13 00:00:00,,,ONGOING SECTIONS TOPPED TO GRADE,,1-877-304 12,1,10B
ROXBURY,WARREN ST,516,,,,,National Grid,National Grid,EMER-1323841,EMERGENCY,Grade 1 Gas Leak,Days & Weekends,2023-01-13 00:00:00,2023-01-13 00:00:00,,,ONGOING SECTIONS TOPPED TO GRADE,,1-877-304 12,1,10B
