X,Y,OBJECTID,stop_id,stop_code,stop_name,stop_desc,platform_code,platform_name,stop_lat,stop_lon,zone_id,stop_address,stop_url,level_id,location_type,parent_station,wheelchair_boarding,municipality,on_street,at_street,vehicle_type,Sidewalk_Width__ft_,Accessibility_Score,Sidewalk_Condition,Sidewalk_Material,Current_Shelter,Routes,Municipality_1,Neighborhood,created_user,created_date,last_edited_user,last_edited_date
-71.1533089994387,42.3492610000208,639913,1035,1035,Market St @ Washington St,,,,42.349261,-71.153309,LocalBus,,https://www.mbta.com/stops/1035,,0,,1,Boston,Market Street,Washington Street,3,7.25,Medium,Good,Concrete,0,86,BOSTON,Brighton,DOT_ADMIN,2022/10/17 19:46:59+00,DOT_ADMIN,2022/10/17 19:46:59+00
-71.1517629996576,42.3517379997871,639914,1036,1036,Market St @ Sparhawk St,,,,42.351738,-71.151763,LocalBus,,https://www.mbta.com/stops/1036,,0,,1,Boston,Market Street,Sparhawk Street,3,4.833333333,Medium,Good,Concrete,0,86,BOSTON,Brighton,DOT_ADMIN,2022/10/17 19:46:59+00,DOT_ADMIN,2022/10/17 19:46:59+00
-71.1503760000412,42.3540300003312,639915,1038,1038,Market St @ Morrow Rd,,,,42.35403,-71.150376,LocalBus,,https://www.mbta.com/stops/1038,,0,,1,Boston,Market Street,Gardena Street,3,7.666666667,Medium,Good,Concrete,0,86,BOSTON,Brighton,DOT_ADMIN,2022/10/17 19:46:59+00,DOT_ADMIN,2022/10/17 19:46:59+00
-71.1493659994059,42.3555689999661,639916,1039,1039,Market St @ N Beacon St,,,,42.355569,-71.149366,LocalBus,,https://www.mbta.com/stops/1039,,0,,1,Boston,Market Street,Lawrence Place,3,7.25,Medium,Good,Concrete,0,86,BOSTON,Brighton,DOT_ADMIN,2022/10/17 19:46:59+00,DOT_ADMIN,2022/10/17 19:46:59+00
-71.1058129998699,42.366778999942,639917,104,104,Massachusetts Ave @ Bigelow St,,,,42.366779,-71.105813,LocalBus,,https://www.mbta.com/stops/104,,0,,0,Cambridge,Massachusetts Avenue,Inman Street,3,2.666666667,High,Good,Other,JCD/CEMUSA,1,CAMBRIDGE,,DOT_ADMIN,2022/10/17 19:46:59+00,DOT_ADMIN,2022/10/17 19:46:59+00
-71.1482850001988,42.3573129998841,639918,1040,1040,Market St @ Guest St,,,,42.357313,-71.148285,LocalBus,,https://www.mbta.com/stops/1040,,0,,1,Boston,Market Street,Guest Street,3,3.416666667,Medium,Cracked,Concrete,JCD,86,BOSTON,Brighton,DOT_ADMIN,2022/10/17 19:46:59+00,DOT_ADMIN,2022/10/17 19:46:59+00
-71.1470820000553,42.3592789999538,639919,1041,1041,Market St @ Centola St,,,,42.359279,-71.147082,LocalBus,,https://www.mbta.com/stops/1041,,0,,1,Boston,Birmingham Parkway,Centola Street,3,7,Medium,Good,Concrete,0,86,BOSTON,Brighton,DOT_ADMIN,2022/10/17 19:46:59+00,DOT_ADMIN,2022/10/17 19:46:59+00
-71.0973769996941,42.3148979997676,639920,10413,10413,Columbus Ave @ Weld Ave,,,,42.314898,-71.097377,LocalBus,,https://www.mbta.com/stops/10413,,0,,1,Boston,Columbus Avenue,Dixwell Street,3,4.333333333,Medium,Good,Concrete,0,22|29|44,BOSTON,Jamaica Plain,DOT_ADMIN,2022/10/17 19:46:59+00,DOT_ADMIN,2022/10/17 19:46:59+00
-71.0872379995265,42.2982670004145,639921,10417,10417,American Legion Hwy @ Blue Hill Ave,,,,42.298267,-71.087238,LocalBus,,https://www.mbta.com/stops/10417,,0,,1,Boston,American Legion Highway,Blue Hill Avenue,3,5,Medium,Good,Concrete,0,14,BOSTON,Roxbury,DOT_ADMIN,2022/10/17 19:46:59+00,DOT_ADMIN,2022/10/17 19:46:59+00
-71.0925069994444,42.2958279998345,639922,10418,10418,American Legion Hwy opp Franklin Hill Ave,,,,42.295828,-71.092507,LocalBus,,https://www.mbta.com/stops/10418,,0,,1,Boston,American Legion Highway,Ramp - American Legion Highway To Rt 203,3,4.916666667,Medium,Good,Concrete,0,14,BOSTON,Roxbury,DOT_ADMIN,2022/10/17 19:46:59+00,DOT_ADMIN,2022/10/17 19:46:59+00
