name,type,latitude,longitude
Arbour Hospital,Hospital,42.31577,-71.11224999
Franciscan Children's Hospital & Rehab Center,Hospital,42.32974,-71.08305999
Hebrew Rehabilitation Center,Hospital,42.29668108,-71.13073384
Jewish Memorial Hospital & Radius Hospital,Hospital,42.31858534,-71.09244494
Kindred Hospital,Hospital,42.34659999,-71.14184999
Lemuel Shattuck Hospital,Hospital,42.29943676,-71.1018377
Shriner’s Burn Institute ,Hospital,42.36308,-71.06644999
Spaulding Rehabilitation Hospital,Hospital,42.36782999,-71.06494999
Beth Isreal Deaconess medical Center - East Campus,Hospital,42.33981999,-71.10567999
Boston Medical Center - Menino Campus,Hospital,42.3347841,-71.07320405
Brigham and Women's Hospital,Hospital,42.33610648,-71.10748046
Carney Hospital,Hospital,42.27742624,-71.06569303
Children's Hospital Boston,Hospital,42.33692,-71.10541999
Dana-Farber Cancer Institute,Hospital,42.33755949,-71.10707939
Faulkner Hospital,Hospital,42.30258,-71.12894
Massachusetts Eye and Ear Infirmary,Hospital,42.36259065,-71.07014072
St. Elizabeth's Hospital,Hospital,42.34957389,-71.14797912
Tufts Medical Center,Hospital,42.35007835,-71.06305995
VA Bos. Healthcare System - Jamaica Plain,Hospital,42.32677799,-71.1101674
VA Bos. Healthcare System - W. Roxbury,Hospital,42.2752769,-71.17139292
Beth Israel Deaconess Medical Center - West Campus,Hospital,42.33759354,-71.10892133
Boston Medical Center - East Newton Campus,Hospital,42.33775943,-71.07079483
New England Baptist Hospital,Hospital,42.32991697,-71.10714028
BOSTON VETERAN CENTER,Hospital,42.34820272,-71.09854366
Veterans Affairs Boston Health Care System,Hospital,42.36648248,-71.05895207
Erich LIindemann Mental Health Center,Hospital,42.3619051,-71.06349027
Urgent Care Medical Unit,Hospital,42.35055468,-71.07660537
Boston Public Health Commission Medical Facilities,Hospital,42.33382409,-71.07221631
MGH at the Navy Yard,Hospital,42.37722077,-71.052447
Mass General Hospital,Hospital,42.36315524,-71.06852783
Alewife,T-Stop,42.395428,-71.142483
Allston Street,T-Stop,42.348701,-71.137955
Amory Street,T-Stop,42.350992,-71.114748
Andrew,T-Stop,42.330154,-71.057655
Airport,T-Stop,42.374262,-71.030395
Aquarium,T-Stop,42.359784,-71.051652
Arlington,T-Stop,42.351902,-71.070893
Ashmont,T-Stop,42.28452,-71.063777
Assembly,T-Stop,42.392811,-71.077257
Babcock Street,T-Stop,42.351616,-71.119924
Ball Square,T-Stop,42.399889,-71.111003
Back Bay,T-Stop,42.34735,-71.075727
Back of the Hill,T-Stop,42.330139,-71.111313
Beaconsfield,T-Stop,42.335765,-71.140455
Washington Square,T-Stop,42.339394,-71.13533
Blandford Street,T-Stop,42.349293,-71.100258
Beachmont,T-Stop,42.397542,-70.992319
Brandon Hall,T-Stop,42.340023,-71.129082
Bowdoin,T-Stop,42.361365,-71.062037
Boylston,T-Stop,42.35302,-71.06459
Broadway,T-Stop,42.342622,-71.056967
Packard's Corner,T-Stop,42.351967,-71.125031
Brookline Hills,T-Stop,42.331316,-71.126683
Brigham Circle,T-Stop,42.334229,-71.104609
Braintree,T-Stop,42.207854,-71.001138
Boston University Central,T-Stop,42.350082,-71.106865
Boston University East,T-Stop,42.349735,-71.103889
Butler,T-Stop,42.272429,-71.062519
Brookline Village,T-Stop,42.332608,-71.116857
Capen Street,T-Stop,42.267563,-71.087338
Community College,T-Stop,42.373622,-71.069533
Cedar Grove,T-Stop,42.279629,-71.060394
Central Avenue,T-Stop,42.270027,-71.073444
Chestnut Hill,T-Stop,42.326753,-71.164699
Chestnut Hill Avenue,T-Stop,42.338169,-71.15316
Charles/MGH,T-Stop,42.361166,-71.070628
Chinatown,T-Stop,42.352547,-71.062752
Chiswick Road,T-Stop,42.340805,-71.150711
Cleveland Circle,T-Stop,42.336142,-71.149326
Central,T-Stop,42.365486,-71.103802
Copley,T-Stop,42.349974,-71.077447
Silver Line Way,T-Stop,42.347154,-71.038385
Coolidge Corner,T-Stop,42.342116,-71.121263
Davis,T-Stop,42.39674,-71.121815
Dean Road,T-Stop,42.337807,-71.141853
Downtown Crossing,T-Stop,42.355518,-71.060225
Eliot,T-Stop,42.319045,-71.216684
Englewood Avenue,T-Stop,42.336971,-71.14566
East Somerville,T-Stop,42.379467,-71.086625
Fairbanks Street,T-Stop,42.339725,-71.131073
Fenwood Road,T-Stop,42.333706,-71.105728
Fenway,T-Stop,42.345403,-71.104213
Fields Corner,T-Stop,42.300093,-71.061667
Forest Hills,T-Stop,42.300523,-71.113686
Gilman Square,T-Stop,42.387928,-71.096766
Government Center,T-Stop,42.359705,-71.059215
Griggs Street,T-Stop,42.348545,-71.134949
Green Street,T-Stop,42.310525,-71.107414
Haymarket,T-Stop,42.363021,-71.05829
Harvard,T-Stop,42.373362,-71.118956
Harvard Avenue,T-Stop,42.350243,-71.131355
Heath Street,T-Stop,42.328316,-71.110252
Hawes Street,T-Stop,42.344906,-71.111145
Hynes Convention Center,T-Stop,42.347888,-71.087903
Jackson Square,T-Stop,42.323132,-71.099592
JFK/UMass,T-Stop,42.320685,-71.052391
Kenmore,T-Stop,42.348949,-71.095169
Kendall/MIT,T-Stop,42.362491,-71.086176
Kent Street,T-Stop,42.344074,-71.114197
Boston College,T-Stop,42.340081,-71.166769
Lechmere,T-Stop,42.371572,-71.076584
Longwood Medical Area,T-Stop,42.33596,-71.100052
Longwood,T-Stop,42.341702,-71.109956
Massachusetts Avenue,T-Stop,42.341512,-71.083423
Mattapan,T-Stop,42.26762,-71.092486
Medford/Tufts,T-Stop,42.407975,-71.117044
Museum of Fine Arts,T-Stop,42.337711,-71.095512
Magoun Square,T-Stop,42.393682,-71.106388
Milton,T-Stop,42.270349,-71.067266
Mission Park,T-Stop,42.333195,-71.109756
Malden Center,T-Stop,42.426632,-71.07411
Maverick,T-Stop,42.369119,-71.03953
Newton Highlands,T-Stop,42.322381,-71.205509
Newton Centre,T-Stop,42.329443,-71.192414
North Station,T-Stop,42.365577,-71.06129
North Quincy,T-Stop,42.275275,-71.029583
Nubian,T-Stop,42.329544,-71.083982
Northeastern University,T-Stop,42.340401,-71.088806
Oak Grove,T-Stop,42.43668,-71.071097
Orient Heights,T-Stop,42.386867,-71.004736
Park Street,T-Stop,42.356395,-71.062424
Porter,T-Stop,42.3884,-71.119149
Prudential,T-Stop,42.34557,-71.081696
Quincy Adams,T-Stop,42.233391,-71.007153
Quincy Center,T-Stop,42.251809,-71.005409
Revere Beach,T-Stop,42.407843,-70.992533
Roxbury Crossing,T-Stop,42.331397,-71.095451
Riverside,T-Stop,42.337352,-71.252685
Reservoir,T-Stop,42.335088,-71.148758
Ruggles,T-Stop,42.336377,-71.088961
Riverway,T-Stop,42.331684,-71.111931
Stony Brook,T-Stop,42.317062,-71.104248
Suffolk Downs,T-Stop,42.390501,-70.997123
Savin Hill,T-Stop,42.31129,-71.053331
Saint Mary's Street,T-Stop,42.345974,-71.107353
Shawmut,T-Stop,42.293126,-71.065738
South Street,T-Stop,42.3396,-71.157661
Science Park/West End,T-Stop,42.366664,-71.067666
South Station,T-Stop,42.352271,-71.055242
State,T-Stop,42.358978,-71.057598
Sutherland Road,T-Stop,42.341614,-71.146202
Saint Paul Street,T-Stop,42.343327,-71.116997
Sullivan Square,T-Stop,42.383975,-71.076994
Summit Avenue,T-Stop,42.34111,-71.12561
Symphony,T-Stop,42.342687,-71.085056
Tappan Street,T-Stop,42.338459,-71.138702
Tufts Medical Center,T-Stop,42.349662,-71.063917
Union Square,T-Stop,42.377359,-71.094761
Valley Road,T-Stop,42.268347,-71.081343
Waban,T-Stop,42.325845,-71.230609
Washington Street,T-Stop,42.343864,-71.142853
Wellington,T-Stop,42.40237,-71.077082
Wood Island,T-Stop,42.37964,-71.022865
Wollaston,T-Stop,42.266514,-71.020337
Wonderland,T-Stop,42.41342,-70.991648
Woodland,T-Stop,42.332902,-71.243362
Warren Street,T-Stop,42.348343,-71.140457
Washington St opp Ruggles St,Bus Stop,42.330957,-71.082754
Theo Glynn Way @ Newmarket Sq,Bus Stop,42.330555,-71.068787
Tremont St opp Temple Pl,Bus Stop,42.355692,-71.062911
Albany St opp Randall St,Bus Stop,42.331591,-71.076237
Albany St opp E Concord St,Bus Stop,42.335017,-71.07128
Albany St opp E Newton St,Bus Stop,42.335814,-71.070135
540 Albany St opp Wareham St,Bus Stop,42.338372,-71.066556
Albany St opp Randolph St,Bus Stop,42.339915,-71.064356
High St @ Duck Lane,Bus Stop,42.214986,-70.915924
Southampton St @ Newmarket St,Bus Stop,42.330944,-71.064621
Albany St @ Randolph St,Bus Stop,42.340162,-71.064227
Albany St @ Wareham St,Bus Stop,42.338361,-71.066667
Albany St @ E Dedham St,Bus Stop,42.337556,-71.067875
Albany St opp Boston Medical,Bus Stop,42.334117,-71.07251
Harrison Ave @ E Newton St,Bus Stop,42.337402,-71.072162
TradeCenter 128,Bus Stop,42.499312,-71.162566
E 1st St @ P St,Bus Stop,42.338307,-71.027132
E 1st St opp O St,Bus Stop,42.338274,-71.029203
E 1st St @ O St,Bus Stop,42.338176,-71.029444
Massachusetts Ave @ Sidney St,Bus Stop,42.362988,-71.099486
Albany St @ Randall St,Bus Stop,42.331675,-71.076347
Melnea Cass Blvd @ Harrison Ave,Bus Stop,42.332066,-71.079147
Massachusetts Ave @ Prospect St,Bus Stop,42.365291,-71.103404
Chestnut Hill Ave @ Veronica Smith Ctr,Bus Stop,42.348296,-71.153761
Chestnut Hill Ave @ Englewood Ave,Bus Stop,42.337121,-71.152079
Chestnut Hill Ave @ Commonwealth Ave,Bus Stop,42.338312,-71.153451
Chestnut Hill Ave @ Strathmore Rd,Bus Stop,42.340595,-71.155037
Chestnut Hill Ave @ Wallingford Rd,Bus Stop,42.344607,-71.15322
Chestnut Hill Ave @ Union St,Bus Stop,42.346123,-71.152997
Market St @ Washington St,Bus Stop,42.349261,-71.153309
Market St @ Sparhawk St,Bus Stop,42.351738,-71.151763
Market St @ Morrow Rd,Bus Stop,42.35403,-71.150376
Market St @ N Beacon St,Bus Stop,42.355569,-71.149366
Massachusetts Ave @ Bigelow St,Bus Stop,42.366779,-71.105813
Market St @ Guest St,Bus Stop,42.357313,-71.148285
Market St @ Centola St,Bus Stop,42.359279,-71.147082
Columbus Ave @ Weld Ave,Bus Stop,42.314898,-71.097377
American Legion Hwy @ Blue Hill Ave,Bus Stop,42.298267,-71.087238
American Legion Hwy opp Franklin Hill Ave,Bus Stop,42.295828,-71.092507
American Legion Hwy @ Canterbury St,Bus Stop,42.285933,-71.109847
Market St @ Lothrop St,Bus Stop,42.360459,-71.146341
American Legion Hwy @ Walk Hill St,Bus Stop,42.28745,-71.10739
Opp 684 American Legion Hwy,Bus Stop,42.284762,-71.111695
American Legion Hwy @ Stella Rd,Bus Stop,42.280752,-71.116254
American Legion Hwy @ Cummins Hwy,Bus Stop,42.278467,-71.116716
Opp 950 American Legion Hwy,Bus Stop,42.274382,-71.116781
American Legion Hwy opp Kingbird Rd,Bus Stop,42.293255,-71.094593
Western Ave @ Mackin St,Bus Stop,42.361668,-71.144413
450 Western Ave,Bus Stop,42.362164,-71.141783
Western Ave @ Litchfield St,Bus Stop,42.362531,-71.139786
Western Ave @ Everett St,Bus Stop,42.363093,-71.135443
Western Ave @ Travis St,Bus Stop,42.363248,-71.128518
130 Western Ave,Bus Stop,42.363526,-71.125043
Circuit Dr @ Glen Ln,Bus Stop,42.305104,-71.094684
Western Ave @ Genzyme,Bus Stop,42.363915,-71.119805
Morton St @ Evans St,Bus Stop,42.280886,-71.084654
River St opp Blackstone St,Bus Stop,42.361913,-71.114378
River St @ Fairmont St,Bus Stop,42.362565,-71.112387
2165 Dorchester Ave,Bus Stop,42.276285,-71.067029
River St @ Kelly Rd,Bus Stop,42.363156,-71.110605
River St @ Pleasant St,Bus Stop,42.36385,-71.108586
River St opp Fremont St,Bus Stop,42.269983,-71.089868
River St @ Green St,Bus Stop,42.365072,-71.105142
Massachusetts Ave @ Washington St,Bus Stop,42.336621,-71.076956
Massachusetts Ave @ Hancock St,Bus Stop,42.36839,-71.108618
Magazine St @ Green St,Bus Stop,42.365114,-71.104311
Washington St @ Durnell Ave,Bus Stop,42.282287,-71.132671
Western Ave @ Kinnaird St,Bus Stop,42.364952,-71.108901
Washington St opp W Boundary Rd,Bus Stop,42.26792,-71.149996
Washington St @ Sumner St,Bus Stop,42.256411,-71.163235
Western Ave @ Howard St,Bus Stop,42.364798,-71.110649
Washington St opp Heron St,Bus Stop,42.26883,-71.148551
Washington St @ Rosecliff St,Bus Stop,42.282087,-71.132727
Western Ave @ Putnam Ave,Bus Stop,42.364492,-71.114114
Western Ave opp Genzyme,Bus Stop,42.364074,-71.119704
125 Western Ave,Bus Stop,42.363686,-71.124387
Massachusetts Ave @ Dana St,Bus Stop,42.369265,-71.110773
Western Ave @ N Harvard St,Bus Stop,42.363284,-71.129148
Western Ave opp Riverdale St,Bus Stop,42.363253,-71.132079
Western Ave @ Everett St,Bus Stop,42.363179,-71.135542
367 Western Ave opp Brighton Mills Mall,Bus Stop,42.362807,-71.138519
Western Ave opp Litchfield St,Bus Stop,42.362662,-71.139575
445 Western Ave,Bus Stop,42.362341,-71.14136
Centre St @ Grove St,Bus Stop,42.268863,-71.161907
Centre St @ Grove St,Bus Stop,42.268891,-71.161806
495 Western Ave,Bus Stop,42.361858,-71.144012
Spring St @ Cass St,Bus Stop,42.27717,-71.164194
Market St @ Vineland St,Bus Stop,42.357084,-71.148576
Massachusetts Ave @ Trowbridge St,Bus Stop,42.37027,-71.112998
Market St @ N Beacon St,Bus Stop,42.355813,-71.14937
Market St @ Keenan Rd,Bus Stop,42.353716,-71.150702
Veterans Hospital West Roxbury,Bus Stop,42.275343,-71.171831
Charles Park Rd @ VFW Pkwy,Bus Stop,42.276826,-71.172521
Market St @ Arlington St,Bus Stop,42.35151,-71.152061
5 Charles Park Rd,Bus Stop,42.276931,-71.172561
Dedham Mall @ Stop & Shop,Bus Stop,42.258725,-71.16853
Dedham Mall @ South Side,Bus Stop,42.253283,-71.170494
Chestnut Hill Ave @ Washington St,Bus Stop,42.349027,-71.153531
Chestnut Hill Ave @ Academy Hill Rd,Bus Stop,42.347089,-71.15375
Chestnut Hill Ave @ Jackson Ave,Bus Stop,42.344534,-71.153418
Chestnut Hill Ave @ Embassy Rd,Bus Stop,42.341436,-71.154691
Chestnut Hill Ave @ South St,Bus Stop,42.340595,-71.155272
Massachusetts Ave @ Bow St,Bus Stop,42.372099,-71.115371
Chestnut Hill Ave @ Commonwealth Ave,Bus Stop,42.33833,-71.153702
Chestnut Hill Ave @ Beacon St,Bus Stop,42.336386,-71.151428
Cummins Hwy @ Wood Ave,Bus Stop,42.274133,-71.109187
Harvard Ave @ Brighton Ave,Bus Stop,42.352614,-71.132097
Brooks St @ Faneuil St,Bus Stop,42.352511,-71.163102
Saratoga St @ Teragram St,Bus Stop,42.383937,-70.999451
Main St @ Pleasant St,Bus Stop,42.38233,-70.991479
Main St @ Beal St,Bus Stop,42.382135,-70.98896
Hermon St @ Lincoln St,Bus Stop,42.379617,-70.985872
Pauline St opp Woodside Ave,Bus Stop,42.375909,-70.987693
Pauline St @ Pleasant St,Bus Stop,42.374436,-70.991198
Pleasant St @ Somerset Ave,Bus Stop,42.37318,-70.989766
Pleasant St @ Bartlett Rd,Bus Stop,42.372904,-70.987328
Pleasant St @ Sunnyside Ave,Bus Stop,42.372595,-70.984668
Pleasant St @ Seaview Ave,Bus Stop,42.372389,-70.98292
Pleasant St @ Winthrop St,Bus Stop,42.372198,-70.981132
Washington Ave opp Willow Ave,Bus Stop,42.372168,-70.978521
Washington Ave opp Lewis Ave,Bus Stop,42.372021,-70.976842
Washington Ave opp River Rd,Bus Stop,42.3719,-70.974424
Washington Ave opp Veterans Rd,Bus Stop,42.372456,-70.97191
Veterans Rd @ Washington Ave,Bus Stop,42.372701,-70.971585
Veterans Rd @ Cutler St,Bus Stop,42.374284,-70.972804
Veterans Rd @ Levy Bramson Way,Bus Stop,42.375878,-70.97402
Veterans Rd opp Seafoam Ave,Bus Stop,42.377434,-70.974987
Veterans Rd @ Hadassah Way,Bus Stop,42.378929,-70.975801
Veterans Rd @ Shirley St,Bus Stop,42.381135,-70.975503
Veterans Rd @ Locust St,Bus Stop,42.382563,-70.973827
Crest Ave @ Grovers Ave,Bus Stop,42.384521,-70.973152
Crest Ave @ Highland Ave,Bus Stop,42.386455,-70.975745
Revere St opp Summit Ave,Bus Stop,42.384736,-70.978052
Revere St @ Governors Dr,Bus Stop,42.38248,-70.980365
Revere St @ Winthrop St,Bus Stop,42.38167,-70.98227
Main St @ Douglas St,Bus Stop,42.382016,-70.986486
Main St @ Fairview St,Bus Stop,42.382255,-70.988942
Main St @ Pleasant St,Bus Stop,42.38247,-70.991716
Saratoga St opp Teragram St,Bus Stop,42.383963,-70.999159
Shirley St opp Moore St,Bus Stop,42.370713,-70.970441
Shirley St opp Crystal Cove Ave,Bus Stop,42.369467,-70.971284
Shirley St @ Pontos St,Bus Stop,42.36538,-70.96932
Shirley St @ Petrel St,Bus Stop,42.363754,-70.970139
Shirley St opp Yirrell Beach,Bus Stop,42.36303,-70.97039
Shirley St @ Bay View Ave,Bus Stop,42.360982,-70.970887
Tafts Ave @ Otis St,Bus Stop,42.358897,-70.970587
Deer Island - MWRA Gate,Bus Stop,42.35569,-70.967704
Tafts Ave @ Otis St,Bus Stop,42.359196,-70.970574
Shirley St @ Bay View Ave,Bus Stop,42.360776,-70.970795
Shirley St @ Yirrell Beach,Bus Stop,42.362996,-70.970216
Shirley St @ Petrel St,Bus Stop,42.363542,-70.970071
Shirley St opp Pontos St,Bus Stop,42.365243,-70.96921
Shirley St @ Crystal Cove Ave,Bus Stop,42.369295,-70.971194
Shirley St @ Moore St,Bus Stop,42.370549,-70.970361
Main St @ Hermon St,Bus Stop,42.381889,-70.98615
Main St @ Winthrop St,Bus Stop,42.381544,-70.982478
Revere St opp Governors Dr,Bus Stop,42.382314,-70.980466
Revere St @ Summit Ave,Bus Stop,42.384712,-70.977889
Crest Ave @ Revere St,Bus Stop,42.386405,-70.975838
Crest Ave @ Grovers Ave,Bus Stop,42.384428,-70.973253
Beach Rd @ Locust St,Bus Stop,42.382589,-70.973709
Shirley St opp Coral Ave,Bus Stop,42.379054,-70.975001
Shirley St opp Seafoam Ave,Bus Stop,42.377526,-70.974688
Shirley St @ Levy Bramson Way,Bus Stop,42.376141,-70.973918
Shirley St @ Cutler St,Bus Stop,42.374554,-70.972555
Washington Ave @ River Rd,Bus Stop,42.372069,-70.97424
Washington Ave @ Lewis Ave,Bus Stop,42.372114,-70.976577
Washington Ave @ Willow Ave,Bus Stop,42.37228,-70.978265
Washington Ave @ Winthrop St,Bus Stop,42.372303,-70.980875
Pleasant St @ Vine Ave,Bus Stop,42.372479,-70.982654
Pleasant St @ Buchanan St,Bus Stop,42.372686,-70.984401
Pleasant St @ Bartlett Rd,Bus Stop,42.372995,-70.987061
Pleasant St @ Somerset Ave,Bus Stop,42.373301,-70.989729
Pauline St @ Pleasant St,Bus Stop,42.37431,-70.991123
Pauline St @ Woodside Ave,Bus Stop,42.375811,-70.987603
Hermon St @ Belcher St,Bus Stop,42.378202,-70.985457
Hermon St @ Lincoln St,Bus Stop,42.379628,-70.985699
Shirley St @ Washington Ave,Bus Stop,42.372758,-70.971283
Revere St @ Golden Dr,Bus Stop,42.385674,-70.976635
Revere St @ Hutchinson St,Bus Stop,42.385582,-70.976529
Shirley St @ Beach Rd,Bus Stop,42.380764,-70.974996
Pauline St @ Hermon St,Bus Stop,42.376865,-70.984489
Tafts Ave @ Shirley St,Bus Stop,42.360232,-70.971021
Hermon St @ Pauline St,Bus Stop,42.377011,-70.984515
Melnea Cass Blvd opp Kerr Way,Bus Stop,42.334763,-71.084459
Massachusetts Ave @ Holyoke St,Bus Stop,42.373259,-71.118124
Brooks St @ Hobart St,Bus Stop,42.355618,-71.16246
N Beacon St @ Parsons St,Bus Stop,42.358297,-71.157999
N Beacon St @ Goodenough St,Bus Stop,42.357577,-71.154024
N Beacon St opp Vineland St,Bus Stop,42.357,-71.152801
N Beacon @ Market St,Bus Stop,42.356155,-71.149465
Guest St @ Life St,Bus Stop,42.357031,-71.145976
Arthur St @ Hichborn St - Stop & Shop,Bus Stop,42.355385,-71.142171
N Beacon St @ Saunders St,Bus Stop,42.354115,-71.14151
Mt Vernon St @ South Point Dr,Bus Stop,42.317184,-71.040238
N Beacon St @ Cambridge St,Bus Stop,42.353583,-71.138173
Cambridge St opp Hano St,Bus Stop,42.353931,-71.136365
Pemberton Point,Bus Stop,42.303676,-70.919766
Main St from Pemberton Pnt to Spring St (FLAG),Bus Stop,42.303427,-70.913293
Spring St from Main St to Nantasket Ave (FLAG),Bus Stop,42.302958,-70.902498
Nantasket Ave from Y St to A St (FLAG),Bus Stop,42.298619,-70.882178
Nantasket Ave from A St to Kenberma St (FLAG),Bus Stop,42.287379,-70.876717
390 Cambridge St,Bus Stop,42.355251,-71.133266
Nantasket Ave from Kenberma St to Bay St (FLAG),Bus Stop,42.279455,-70.869833
Nantasket Ave from Bay St to Wash Blvd (FLAG),Bus Stop,42.27314,-70.86018
Nantasket Ave from Wash Blvd to Park Ave (FLAG),Bus Stop,42.270704,-70.856877
Park Ave from Nantasket Ave to Rockland Cir (FLAG),Bus Stop,42.267539,-70.8533
Rockland Cir from Park to Rockland House Rd (FLAG),Bus Stop,42.266442,-70.853888
Wash Blvd from Rockland House Rd to Med Ctr (FLAG),Bus Stop,42.26487,-70.85755
Wash Blvd @ Hull Medical Ctr (FLAG),Bus Stop,42.263534,-70.859295
Atlantic Ave - Nantasket Ave to School St (FLAG),Bus Stop,42.265539,-70.846749
School St - Atlantic Ave to Nantasket Ave (FLAG),Bus Stop,42.264411,-70.84597
Nantasket Ave from School St to Rockland St (FLAG),Bus Stop,42.261535,-70.845016
Summer St from Rockland St to Cushing Way (FLAG),Bus Stop,42.247716,-70.876317
Summer St from Cushing Way to Water St (FLAG),Bus Stop,42.245686,-70.882913
Summer St from Water St to Cushing Way (FLAG),Bus Stop,42.245593,-70.882668
Cambridge St @ Linden St,Bus Stop,42.355943,-71.131448
Centre St @ Roseway St,Bus Stop,42.318993,-71.111932
Cambridge St @ N Harvard St,Bus Stop,42.357758,-71.126505
Malcolm X Blvd @ Madison Park HS,Bus Stop,42.331221,-71.090588
Malcolm X Blvd @ O'Bryant HS,Bus Stop,42.330732,-71.08842
Cambridge St @ Seattle St,Bus Stop,42.358658,-71.123967
Harrison Ave @ E Brookline St,Bus Stop,42.338393,-71.070917
Cambridge St @ Mass Pike Exit,Bus Stop,42.360621,-71.118743
Centre St @ Burroughs St,Bus Stop,42.311466,-71.1145
"Cobbs Corner, Canton",Bus Stop,42.13982,-71.148314
Washington St from Cobbs Corner to High St (FLAG),Bus Stop,42.144333,-71.149085
Washington St from High St to Church St (FLAG),Bus Stop,42.150599,-71.149245
Washington St - Church St to Canton Ctr Sta (FLAG),Bus Stop,42.154215,-71.145689
Washington St opp Canton Center Station,Bus Stop,42.156617,-71.145462
Washington St - Canton Ctr Sta to Pequit St (FLAG),Bus Stop,42.158794,-71.144918
Washington St - Chapman St to Pleasant St (FLAG),Bus Stop,42.172307,-71.139199
Washington St - Pecunit St to Turnpike St (FLAG),Bus Stop,42.185813,-71.121815
Blue Hill Ave - Barbara Ln to Valentine Rd (FLAG),Bus Stop,42.250044,-71.102039
Blue Hill Ave @ Pagoda St,Bus Stop,42.256091,-71.098968
Blue Hill Ave - Tucker St to Brush Hill Rd (FLAG),Bus Stop,42.262627,-71.095503
Blue Hill Ave - Brush Hill Rd to Tucker St (FLAG),Bus Stop,42.262866,-71.095677
Blue Hill Ave opp Pagoda St,Bus Stop,42.255922,-71.099238
Blue Hill Ave from Barbara Ln to Curry Coll (FLAG),Bus Stop,42.239391,-71.108505
Washington St from Royall St to Turnpike St (FLAG),Bus Stop,42.197154,-71.119299
Washington St - Pecunit St to Pleasant St (FLAG),Bus Stop,42.176598,-71.13143
Washington St - Pleasant St to Chapman St (FLAG),Bus Stop,42.172526,-71.139085
Washington St from Chapman St to Lewis St (FLAG),Bus Stop,42.165614,-71.142813
Washington St - Lewis St to Canton Ctr sta (FLAG),Bus Stop,42.159019,-71.145006
Washington St @ Canton Center Station,Bus Stop,42.156685,-71.145661
Washington St - Canton Ctr Sta to Church St (FLAG),Bus Stop,42.154326,-71.145862
Washington St from Church St to High St (FLAG),Bus Stop,42.150784,-71.149384
Washington St from High St to Cobbs Corner (FLAG),Bus Stop,42.14423,-71.149281
Rockland St from Kilby St to Nantasket Ave (FLAG),Bus Stop,42.255329,-70.851812
