name,type,latitude,longitude
Massachusetts General Hospital Dietetic Internship,College/University,42.36259065,-71.07014072
Suffolk University,College/University,42.35890485,-71.0619481
Benjamin Franklin Institute of Technology,College/University,42.34610271,-71.07018646
Bunker Hill Community College,College/University,42.37511654,-71.06957165
MGH Institute of Health Professions,College/University,42.37491705,-71.05397174
Emmanuel College,College/University,42.34151633,-71.10347795
School of the Museum of Fine Arts-Boston,College/University,42.33853793,-71.09669362
Simmons,College/University,42.33918733,-71.0999399
Boston University,College/University,42.34955975,-71.09970931
The Boston Conservatory,College/University,42.34605822,-71.09001133
Wheelock College,College/University,42.34174,-71.10642
Roxbury Community College,College/University,42.32923535,-71.09549441
University of Massachusetts-Boston,College/University,42.31380935,-71.03920216
Boston University Research,College/University,42.35083298,-71.10900119
Boston University School of Law,College/University,42.35116191,-71.10977291
Boston University Sargent College,College/University,42.34983461,-71.10204532
Boston University School of Management,College/University,42.34943784,-71.09810862
Boston University Admissions,College/University,42.350434,-71.09884899
Boston University Rental Office,College/University,42.34953999,-71.09701
Boston University Trustees,College/University,42.35196,-71.11522999
Boston University School of Medicine,College/University,42.33638764,-71.07096966
Boston University Public Health,College/University,42.33531935,-71.07162395
Boston College,College/University,42.33383264,-71.16971925
Simmons College,College/University,42.34105034,-71.10589563
Harvard Medical School,College/University,42.33650088,-71.10247008
Tufts University School of Medicine,College/University,42.3498,-71.06148999
MASCO Colleges of the Fenway,College/University,42.34004,-71.10830999
Harvard University Sailing,College/University,42.3664324,-71.1229264
Harvard Business School,College/University,42.36522699,-71.12005612
New England College of Business and Finance,College/University,42.35353,-71.05673
North Bennet Street School,College/University,42.36589,-71.05478
Empire Beauty School-Boston,College/University,42.35485,-71.06237
Urban College of Boston,College/University,42.35288999,-71.06407999
Bay State College,College/University,42.35176999,-71.07694
Butera School Of Art,College/University,42.35498,-71.07316
Emerson College,College/University,42.35221938,-71.06573578
Fisher College,College/University,42.35525,-71.07414
Sanford-Brown College-Boston,College/University,42.351004,-71.076416
New England School of Law,College/University,42.35077028,-71.06642451
Kaplan Career Institute (Closed),College/University,42.38101,-71.07244699
Boston Architectural College,College/University,42.34846,-71.0858
Massachusetts College of Art and Design,College/University,42.33638373,-71.10034042
MCPHS University,College/University,42.33688,-71.10112
New England College of Optometry,College/University,42.35184999,-71.08680999
Northeastern University,College/University,42.3400479,-71.08889159
The New England Conservatory of Music,College/University,42.34109299,-71.086446
Wentworth Institute of Technology,College/University,42.33662,-71.09493999
Berklee College of Music,College/University,42.34668904,-71.0890112
Kaplan Career Institute (Closed),College/University,42.34849199,-71.09672499
New England School of Photography,College/University,42.34922,-71.09691999
Art Institute of Boston at Lesley University,College/University,42.34849999,-71.09936999
Laboure College,College/University,42.27739331,-71.0651491
Everest Institute-Brighton,College/University,42.34711,-71.14154
Saint John's Seminary,College/University,42.34432295,-71.16304875
Pine Manor College,College/University,42.32878999,-71.11021999
Massachusetts School of Professional Psychology,College/University,42.27889226,-71.18035129
Boston Baptist College,College/University,42.25399999,-71.11025999
