,District,Count
0,Dorchester,169
1,Roxbury,148
2,Downtown,145
3,West Roxbury,141
4,East Boston,89
5,North End,89
6,South Boston,86
7,Allston,77
8,Charlestown,77
9,Jamaica Plain,73
10,Hyde Park,64
11,Roslindale,9
