,ID,DISTRICT,ramp_score,hazard_score,score
13934,22780,Allston,28.0,1.0,29.0
11249,16050,Allston,21.0,16.0,37.0
7651,9529,South Boston,13.0,9.0,22.0
13285,20946,Allston,13.0,0.0,13.0
812,922,Roxbury,12.0,3.0,15.0
