,ID,DISTRICT,ramp_score,hazard_score,score
11249,16050,Allston,21.0,16.0,37.0
13934,22780,Allston,28.0,1.0,29.0
7651,9529,South Boston,13.0,9.0,22.0
2367,2778,West Roxbury,2.0,19.0,21.0
3905,4617,Charlestown,1.0,19.0,20.0
